covariance_feature	other_family	other_feature	eligible_buckets	median_spearman	median_abs_spearman	generic_median_spearman	product_median_spearman	sign_consistency	min_spearman	max_spearman
covariance_condition	combinatorial	facet_neighbor_count_std	7	0.08764715300647641	0.08764715300647641	0.08764715300647641		1.0	0.023734436971634902	0.23535786468142342
covariance_condition	combinatorial	facet_vertex_count_std	7	0.08764715300647641	0.08764715300647641	0.08764715300647641		1.0	0.023734436971634902	0.23571488989814057
covariance_condition	combinatorial	facet_neighbor_count_min	7	-0.07676544059873923	0.07676544059873923	-0.07676544059873923		1.0	-0.1402447144570299	-0.023734436971634902
covariance_condition	combinatorial	facet_vertex_count_min	7	-0.07676544059873923	0.07676544059873923	-0.07676544059873923		1.0	-0.1402447144570299	-0.023734436971634902
nu1	combinatorial	facet_neighbor_count_min	7	-0.059362131513522584	0.059362131513522584	-0.059362131513522584		1.0	-0.11067170937939658	-0.035147569998543286
nu1	combinatorial	facet_vertex_count_min	7	-0.059362131513522584	0.059362131513522584	-0.059362131513522584		1.0	-0.11067170937939658	-0.035147569998543286
covariance_condition	combinatorial	ridge_size_max	6	0.03384552084872547	0.03384552084872547	0.03384552084872547		1.0	0.00013432538275065428	0.1250566167112028
rho	symplectic_face	ridge_symp_area_q75_over_volume_sqrt	18	0.5169198655764966	0.5169198655764966	0.476964474468891	0.5169198655764966	0.9444444444444444	-0.00738587189757528	0.9889394088405692
nu2	symplectic_face	ridge_symp_area_q75_over_volume_sqrt	18	0.4853326165867963	0.4853326165867963	0.40469827200286496	0.4853326165867963	0.9444444444444444	-0.04806774595880122	0.955561789213933
covariance_condition	symplectic_face	ridge_symp_area_q75_over_volume_sqrt	18	0.4307038041248856	0.4307038041248856	0.3362468219383403	0.4430918188076675	0.9444444444444444	-0.06461877950432729	0.825849132304556
covariance_condition	symplectic_face	ridge_symp_area_median_over_volume_sqrt	18	-0.3358825060906362	0.36475000202509056	-0.30621825356855065	-0.38951973325405903	0.9444444444444444	-0.47107865138402116	0.6010097840205536
nu1	symplectic_face	ridge_symp_area_min_over_volume_sqrt	18	-0.06839520144303975	0.06839520144303975	-0.11355644990211897	-0.032690549742853764	0.9444444444444444	-0.21806469298245615	0.015287843263009193
nu2	symplectic_face	ridge_symp_area_median_over_volume_sqrt	18	-0.3593901834646379	0.3739341344114653	-0.3195499111459652	-0.401438989745011	0.8888888888888888	-0.48106784430655886	0.666160710709422
