k	m	q	n	low_ridge_n	high_sys_n	same_q_overlap_n	conditional_high_sys_rate	conditional_rate_wilson95_low	conditional_rate_wilson95_high	independence_expected_overlap	same_q_enrichment	low_ridge_sys_mean	other_sys_mean	mean_difference_low_minus_other	low_ridge_sys_median	low_ridge_sys_p90	other_sys_median	other_sys_p90
4	6	0.02	1024	21	21	6	0.2857142857142857	0.1381386295212213	0.49956380716085597	0.4306640625	13.931972789115646	0.6499457065813274	0.36276705464097464	0.2871786519403528	0.6606812621309549	0.7539829879543716	0.36602364255496866	0.617981387141639
5	5	0.02	1024	21	21	1	0.047619047619047616	0.008455987809826399	0.22669360074122563	0.4306640625	2.3219954648526078	0.6426751157378665	0.39457878192355955	0.24809633381430696	0.6530169674520593	0.7312153277034221	0.4095874172257178	0.6397640805583595
5	6	0.02	1024	21	21	1	0.047619047619047616	0.008455987809826399	0.22669360074122563	0.4306640625	2.3219954648526078	0.6367767967908824	0.4366001234994452	0.20017667329143718	0.6438713297493096	0.723450088783695	0.46482585274885524	0.6663523967423287
6	6	0.02	1024	21	21	2	0.09523809523809523	0.026518767438074548	0.28914139073918255	0.4306640625	4.6439909297052155	0.69049287764292	0.47284082976912284	0.21765204787379716	0.6819336552677345	0.7587384834461894	0.5057543333391802	0.7036200387941818
3	3	0.01	1024	11	11	0	0.0	0.0	0.2588329669680317	0.1181640625	0.0	0.49395133840327526	0.19908564419981026	0.294865694203465	0.493609113799672	0.5038346386288726	0.16089484267060655	0.4416482741551815
3	4	0.01	1024	11	11	4	0.36363636363636365	0.15166471095367573	0.6461988254921511	0.1181640625	33.85123966942149	0.6070813621401032	0.23828976361645218	0.36879159852365107	0.5901041808938273	0.7004407453791776	0.21237490279273696	0.4880257265121878
3	5	0.01	1024	11	11	6	0.5454545454545454	0.280091537409322	0.7872872837754024	0.1181640625	50.77685950413223	0.696440269765548	0.272177875264295	0.42426239450125297	0.70977954240993	0.7565946659204708	0.24747605905716674	0.5265980266479838
3	6	0.01	1024	11	11	4	0.36363636363636365	0.15166471095367573	0.6461988254921511	0.1181640625	33.85123966942149	0.6936044811515631	0.2869777663134827	0.40662671483808044	0.6761324781135971	0.7621024260961251	0.2673673640753337	0.5604386274053845
4	4	0.01	1024	11	11	0	0.0	0.0	0.2588329669680317	0.1181640625	0.0	0.6353846630491382	0.3037851109209039	0.33159955212823433	0.6271364274938911	0.7017656377579298	0.3052986132576305	0.5619820816870936
4	5	0.01	1024	11	11	1	0.09090909090909091	0.016232172885884855	0.37735843645159567	0.1181640625	8.462809917355372	0.6596702989821062	0.34134255038385786	0.3183277485982483	0.671067900704563	0.7342045402331973	0.3326610817192154	0.614533007762836
4	6	0.01	1024	11	11	0	0.0	0.0	0.2588329669680317	0.1181640625	0.0	0.6337988266031646	0.36577732334696017	0.2680215032562044	0.6220140578572583	0.7390825978426572	0.3691483306711598	0.623336426860059
5	5	0.01	1024	11	11	0	0.0	0.0	0.2588329669680317	0.1181640625	0.0	0.6501217956397473	0.39694704437096573	0.25317475126878153	0.6659595541362079	0.7312153277034221	0.4112498902889821	0.6458828112953066
5	6	0.01	1024	11	11	0	0.0	0.0	0.2588329669680317	0.1181640625	0.0	0.620012982721087	0.438758236715321	0.18125474600576597	0.6341345824014747	0.723450088783695	0.4673786903955615	0.667558744963346
6	6	0.01	1024	11	11	0	0.0	0.0	0.2588329669680317	0.1181640625	0.0	0.678898233813872	0.4751153229190315	0.20378291089484052	0.6819336552677345	0.7587384834461894	0.5076255378433219	0.7062967043666578
