selection	fraction	group	n	spearman	R_min	R_max	sys_min	sys_max
high_sys	0.1	G12	52	-0.05643302313668573	12.501461119571193	16.245281592140334	0.6329872580720289	0.8247662746241669
high_sys	0.1	P3x3	103	0.017440583402890657	12.206403909027228	16.197393565162738	0.45273440318920183	0.6464199674959318
high_sys	0.1	P3x4	103	-0.35343539955190445	11.76521412117614	15.762724076362938	0.492096655594468	0.7119073397957835
high_sys	0.1	P3x5	103	-0.5876312436849273	11.10919623389961	14.482065706418222	0.5349573864273288	0.7650778325167292
high_sys	0.1	P3x6	103	-0.5094890831612705	10.769324413781826	14.477046837146181	0.5647670544969149	0.8073487367323776
high_sys	0.1	P4x4	103	-0.3357751614462066	10.571066089854908	13.688933970240242	0.5719188964629073	0.8141002333029529
high_sys	0.1	P4x5	103	-0.2988512059043184	9.513616925654807	12.783328089946224	0.6244380496831692	0.8381244889295797
high_sys	0.1	P4x6	103	-0.3609915213284717	9.584511899485836	12.928604230927872	0.6262698442811471	0.8292665551981732
high_sys	0.1	P5x5	103	-0.16225892896366914	9.173001599591453	12.408151665368283	0.6491351316298536	0.8437955079134134
high_sys	0.1	P5x6	103	-0.14128190484558276	9.376204109900643	11.864150268433114	0.6696304078717445	0.86258589584944
high_sys	0.1	P6x6	103	-0.10607125598559067	9.070259628314721	11.029461136424095	0.7083745973636716	0.8536118881702471
high_sys	0.05	G05	26	-0.5788034188034188	14.827594924967316	18.415004101089245	0.4496719149405311	0.714410363898728
high_sys	0.05	G06	26	-0.02222222222222222	13.465125318730331	18.134302064684693	0.4810527370877504	0.6908550887351059
high_sys	0.05	G07	26	-0.40239316239316236	11.924671717770792	17.604003973082065	0.5569426557295386	0.7458522392903429
high_sys	0.05	G08	26	-0.23145299145299145	11.007140400814665	16.82655249217279	0.5756916262837476	0.7448532509168573
high_sys	0.05	G09	26	-0.1829059829059829	13.08971764257176	15.755453007450463	0.584416900945359	0.7811353314855473
high_sys	0.05	G10	26	-0.2717948717948718	12.777256055924118	16.388622616051908	0.6446044815173066	0.8595596058028344
high_sys	0.05	G11	26	0.15076923076923074	12.601674297433936	16.025588442691816	0.6494413160246687	0.7835927061265431
high_sys	0.05	G12	26	-0.009914529914529914	12.501461119571193	15.823353629631256	0.6788100271114406	0.8247662746241669
high_sys	0.05	P3x3	52	-0.07598394945786732	12.843195565807521	15.620341614327296	0.5034148713412694	0.6464199674959318
high_sys	0.05	P3x4	52	-0.4156065909673013	11.76521412117614	14.253869475542809	0.5399036425288762	0.7119073397957835
high_sys	0.05	P3x5	52	-0.4425851617860496	11.10919623389961	13.597386048631916	0.595700407822994	0.7650778325167292
high_sys	0.05	P3x6	52	-0.27439597028942203	10.769324413781826	12.780077454519557	0.62134828650529	0.8073487367323776
high_sys	0.05	P4x4	52	-0.4462562964227781	10.741537784127498	13.33364805013289	0.6297438790723379	0.8141002333029529
high_sys	0.05	P4x5	52	-0.29727653035089213	10.14141513204193	12.783328089946224	0.6793262631799792	0.8381244889295797
high_sys	0.05	P4x6	52	-0.27354221804832235	9.584511899485836	11.93009947699966	0.6808675393504627	0.8292665551981732
high_sys	0.05	P5x5	52	-0.1269529582515154	9.612218825098811	11.451519570127678	0.7077407482686484	0.8437955079134134
high_sys	0.05	P5x6	52	-0.24699052335012378	9.376204109900643	11.201461004060334	0.7146071904536574	0.86258589584944
high_sys	0.05	P6x6	52	0.023563561854349865	9.15675724441765	10.834557448665187	0.7501025225323367	0.8536118881702471
high_sys	0.02	G05	11	-0.6636363636363638	14.954270209070156	17.084841578727406	0.5069320589910065	0.714410363898728
high_sys	0.02	G06	11	0.29090909090909095	14.153264193588997	16.089228786589175	0.5473783130889737	0.6908550887351059
high_sys	0.02	G07	11	0.6818181818181819	11.924671717770792	16.670193118479553	0.6102524907759993	0.7458522392903429
high_sys	0.02	G08	11	0.43636363636363645	11.007140400814665	15.263738176186257	0.6557313694137352	0.7448532509168573
high_sys	0.02	G09	11	-0.27272727272727276	13.159999839833626	15.685772636038084	0.6468709505722153	0.7811353314855473
high_sys	0.02	G10	11	0.26363636363636367	12.777256055924118	15.202954540129898	0.6931913422425027	0.8595596058028344
high_sys	0.02	G11	11	-0.46363636363636374	13.437363142759857	15.865456173909928	0.6768945594444172	0.7835927061265431
high_sys	0.02	G12	11	0.3545454545454546	12.90540869597744	15.353608893559954	0.7314263129165807	0.8247662746241669
high_sys	0.02	P3x3	21	-0.2792207792207792	13.601296886547749	15.132965185967352	0.5526149960742848	0.6464199674959318
high_sys	0.02	P3x4	21	-0.35844155844155845	11.76521412117614	13.818348880199839	0.5969534114898074	0.7119073397957835
high_sys	0.02	P3x5	21	-0.5233766233766234	11.10919623389961	12.504222756696322	0.659821580199063	0.7650778325167292
high_sys	0.02	P3x6	21	-0.34935064935064936	10.769324413781826	12.780077454519557	0.6761324781135971	0.8073487367323776
high_sys	0.02	P4x4	21	0.01948051948051948	10.741537784127498	12.23355830781769	0.6848864539056185	0.8141002333029529
high_sys	0.02	P4x5	21	-0.10259740259740259	10.14141513204193	11.847731825054597	0.7237242705352415	0.8381244889295797
high_sys	0.02	P4x6	21	-0.006493506493506493	9.948967431667267	11.93009947699966	0.734073532180678	0.8292665551981732
high_sys	0.02	P5x5	21	0.0012987012987012987	9.72927650966265	11.127722569096743	0.7571917775528394	0.8437955079134134
high_sys	0.02	P5x6	21	0.045454545454545456	9.628573397630529	11.054989574635469	0.7660986155217913	0.86258589584944
high_sys	0.02	P6x6	21	-0.4727272727272727	9.244037438810741	10.833792937850868	0.7788172724218558	0.8536118881702471
high_sys	0.01	G05	6	-0.2571428571428572	14.954270209070156	16.14629202263296	0.5540079674792516	0.714410363898728
high_sys	0.01	G06	6	-0.14285714285714288	14.531334224599945	16.089228786589175	0.6063070873609188	0.6908550887351059
high_sys	0.01	G07	6	-0.028571428571428574	14.358489251014475	16.670193118479553	0.6784213299550274	0.7458522392903429
high_sys	0.01	G08	6	0.942857142857143	13.874922718116773	15.263738176186257	0.6865018486822891	0.7448532509168573
high_sys	0.01	G09	6	-0.48571428571428577	13.22104453276631	15.414051372346643	0.6741090128823916	0.7811353314855473
high_sys	0.01	G10	6	0.7714285714285715	12.777256055924118	15.202954540129898	0.7459714935308657	0.8595596058028344
high_sys	0.01	G11	6	0.2571428571428572	13.437363142759857	15.865456173909928	0.7007258326965444	0.7835927061265431
high_sys	0.01	G12	6	-0.2571428571428572	14.096511843460231	15.353608893559954	0.7511119939350928	0.8247662746241669
high_sys	0.01	P3x3	11	-0.29090909090909095	13.878074492150148	14.369962297009307	0.5854439006870071	0.6464199674959318
high_sys	0.01	P3x4	11	-0.44545454545454555	11.76521412117614	13.080100241197016	0.6247149347193309	0.7119073397957835
high_sys	0.01	P3x5	11	-0.11818181818181818	11.10919623389961	12.433561421537718	0.70977954240993	0.7650778325167292
high_sys	0.01	P3x6	11	-0.39090909090909093	10.769324413781826	11.71669834570856	0.7110689627300155	0.8073487367323776
high_sys	0.01	P4x4	11	-0.39090909090909093	11.033480417866008	11.789401364712214	0.7103404814982792	0.8141002333029529
high_sys	0.01	P4x5	11	-0.018181818181818184	10.14141513204193	11.400768030658151	0.7403184837443391	0.8381244889295797
high_sys	0.01	P4x6	11	0.23636363636363636	10.185952418444327	11.609199796471279	0.7539829879543716	0.8292665551981732
high_sys	0.01	P5x5	11	0.7727272727272727	9.964813184614139	10.892719489465991	0.7795379158876371	0.8437955079134134
high_sys	0.01	P5x6	11	-0.19090909090909092	9.628573397630529	11.054989574635469	0.7934717095902393	0.86258589584944
high_sys	0.01	P6x6	11	-0.39090909090909093	9.37073430104508	10.604920480883422	0.7957602955129961	0.8536118881702471
low_R	1.0	G05	512	-0.9817019897060001	13.481015904770645	705.0364248073596	0.00031794754526907963	0.714410363898728
low_R	1.0	G06	512	-0.9743669247319211	13.465125318730331	422.3664400772846	0.0007178417111975786	0.6908550887351059
low_R	1.0	G07	512	-0.9614289719733122	11.924671717770792	365.93063190388403	0.0007774649952312588	0.7458522392903429
