selection	fraction	group	selected_ids_sha256
high_sys	0.01	P5x6	129a9af2f288c2c285d1d18a23f6925b295321d4f4f38da5ca6a7de2d65bd427
high_sys	0.01	P6x6	cdcf73c65bbf25678e7ffd5c4c952b59c0eb58b7a69a75eca5b5a63ab81148e4
low_R	1.0	G05	534a4853440ebba1334837a46169d9f0e1914419752ddaeab17c9c35411eb6ec
low_R	1.0	G06	ffb239d2f657962f462fea1a291ed3fbb896365fe811f548b2a9a7e3bf4da12f
low_R	1.0	G07	0aa7af1053b2da95167908585b162e6cb6c6e1452f714770534ff5989b3229fd
low_R	1.0	G08	efc8458fa81ebed5ceea4907251ada3d41f58e0dcf78973a05fe94a2ce45c6fe
low_R	1.0	G09	74a5a92e88a3c07553303831b437d6cffada002a512d8071d8a76514cf78a509
low_R	1.0	G10	6c9456f33dbee71e992df05e17b13923b722fd7bcd01ab439b5706c610ce807e
low_R	1.0	G11	e3c1dc7522169e8b931bf174b0bddf638c49e734a4e918e33a86f09e806d35f1
low_R	1.0	G12	4a02de854af2d94be79e290d2f36dfde50ef03684596aa51ed8236eca7ba483a
low_R	1.0	P3x3	cbfbf860bfbc07786ecbc40ca65b66d55e842c65007062e32b7c97768dc3beb4
low_R	1.0	P3x4	0039478aba77372b03dae9fc6dca7ce34dd0c248d5635a043d1b8c560f529f9a
low_R	1.0	P3x5	40911b964664e5e87b8c4410f9999906863b2d241849d16d8487d0798307147c
low_R	1.0	P3x6	6f333756a2b7518b5ee2ca267e927026fe88b3fa1907c13b26f5672200bf13f9
low_R	1.0	P4x4	f12783c6325d5fe6318f076d0ed44ae48ac0192cffc1d779f6c6134eb0259aee
low_R	1.0	P4x5	2a792859a689e12f328037ea708eac7aa690fdf42bb9ef4cd98b0fd1d0a2f9c8
low_R	1.0	P4x6	4966ef8e2fd690a9716643fa48b7df5eff57118eaedc9ef64e0fd90f8b98248e
low_R	1.0	P5x5	dc80f56aa9f9848c3b37d6c3d4296e58ab6f2f1c9c8d5faf30b3e22c2fefe821
low_R	1.0	P5x6	beb38101d8816167397f5be37c54eca4345f7ec1638ea48d7931451b58a94d46
low_R	1.0	P6x6	d919457c1433cc0f390e1b00efd9c9690a472b527cf966d45b2c68a4d92b2cdb
low_R	0.5	G05	9ca50c067b2ce9013bde88ba6b6acab1ba95b1f7371ca6bf8601713b382d74a5
low_R	0.5	G06	2dca2f76c2974437e7c50fd8173cf4a466c9abdae996d76304218d29082749a7
low_R	0.5	G07	fe3569c6e05d84224029dcec1ce7ceb8e74df63df81b18467f0affa794edfaa3
low_R	0.5	G08	8b391a0d76276d4bd917da9551519ab1e9a428b1e6c25e45127c69e98753d28a
low_R	0.5	G09	6a5a872c2447812a25081bf08a0d8e8b72d008b75a4c88942f30d7d4df995b02
low_R	0.5	G10	ac150c8ee3c773f431eb94ed85b43079a351c357493c0cdfc0cbf7652377c25b
low_R	0.5	G11	4e401bc4b339728ba28a5a4de06328174c871b8c8ef9b9652ff1d5b6c4215661
low_R	0.5	G12	9cdbe6210d15840ea0583eda87323f1758f439544a28726098b6d22892cd59dd
low_R	0.5	P3x3	7a1fef5d645c57e39ba349b7697c38640262ccb050f0dcd36aae8d0586f5053f
low_R	0.5	P3x4	e031c0b15f0b433182d60a0d388961cb19d57e20765c2d6df24ace6985b81512
low_R	0.5	P3x5	cbdaa904710b3209a2f0b93b4be5f0a93a8e5bd1f7b55ae8b3d89df4128468ed
low_R	0.5	P3x6	384e77f1cf66d989b85f113c77ac494c6ab10657b4d0374bca3bc55d53a9cf4a
low_R	0.5	P4x4	73498b8a704e3b7947bce3fb30ac4b1e596ebf2a495e14f42ab89bb23e42302a
low_R	0.5	P4x5	3626bf1d92d805de8d0d925702e57166691620f6b49a22a12548d340bc0aee4d
low_R	0.5	P4x6	c634b0658fdccd847815ed402ef21c49fd0f937ebf5ba4340dfa5ae981666946
low_R	0.5	P5x5	0767d56184c4f3eee10e7d3a9090d6d91978bce216324e3e1cd1554024eeb847
low_R	0.5	P5x6	96bc436cccb92f6a6f0b122b34857cc81fff518218ab0dd5a01e09bf6999b51e
low_R	0.5	P6x6	ffbc631067416d7b033818f263af71f76ef7b5fe678236a1438635ce150142dc
