source_name	group	baseline_R	balanced_R	delta_R	baseline_sys	balanced_sys	delta_sys	baseline_covariance_rho	balanced_covariance_rho
random_3x6_s0_65	3x6	30.968151495472185	11.53335036009249	-19.434801135379693	0.08256392409895097	0.8398283952019704	0.7572644711030194	18.75762129603079	1.0000000000000007
random_4x4_s0_166	4x4	17.633671707746092	12.29602870664355	-5.337643001102542	0.31741941579171046	0.6998930959315349	0.38247368013982447	4.865161937316523	1.0000000000000004
random_4x5_s1_118	4x5	13.143230124507124	12.14183974172134	-1.0013903827857842	0.5925967968125695	0.7209245759683532	0.12832777915578375	2.6938464181324857	1.0000000000000004
random_4x6_s0_161	4x6	13.703240427203927	11.49855698499052	-2.2046834422134065	0.36159516486461923	0.6373772606571635	0.27578209579254426	1.9415900546321394	1.0000000000000004
random_5x5_s1_190	5x5	11.841313860116562	10.69042653429951	-1.1508873258170524	0.5263343881284904	0.6604647699807412	0.1341303818522508	1.9617216104323274	1.0
random_5x6_s3_150	5x6	13.720198580838845	10.548100969604201	-3.172097611234644	0.34495119789299206	0.8140669079430478	0.46911571005005576	4.616361946196481	1.0000000000000002
random_6x6_s2_240	6x6	10.4047359112784	9.683872887095971	-0.7208630241824299	0.640793233635957	0.8172069162603564	0.17641368262439938	2.1113830135410647	1.0000000000000002
random_3x3_s2_93	3x3	184.43921862107993	13.783278245149448	-170.65594037593047	0.00376273317369692	0.6001508489100948	0.5963881157363979	563.8185359176813	1.0000000000004103
random_3x4_s2_42	3x4	19.513729206269904	11.591950348709856	-7.921778857560048	0.16701191406783114	0.8053233913097164	0.6383114772418853	7.237231417375466	1.0000000000000018
random_3x5_s3_205	3x5	13.200821964391423	12.338444543053702	-0.8623774213377207	0.5069366323726544	0.547777056243336	0.04084042387068154	1.7805795600290866	1.0000000000000002
random_3x6_s1_205	3x6	19.111088223662748	11.849172520202623	-7.261915703460124	0.2914607582409747	0.5110019700912165	0.21954121185024178	5.061078643466546	1.000000000000023
random_4x4_s1_120	4x4	14.648102113324832	11.548293131074116	-3.0998089822507158	0.48399292343282246	0.6878182148531499	0.2038252914203274	2.9091896576667358	1.0000000000000002
random_4x5_s3_251	4x5	14.913379230931437	10.935195410192241	-3.9781838207391953	0.37301578044443784	0.706579352876471	0.33356357243203316	3.667731743031502	1.0
random_4x6_s1_230	4x6	25.696367063711108	12.36969955371063	-13.326667510000478	0.14379495551908347	0.555629696559175	0.41183474104009155	14.130953922974154	1.000000000000019
random_5x5_s3_37	5x5	9.772340441475368	9.562067222783503	-0.21027321869186544	0.733386922190555	0.8027587486141958	0.06937182642364081	1.2080103962032158	1.0000000000000002
