contrast	definition	denominator	effect	master_seed	pass	side_count	strong_threshold	substantial_threshold	tail_threshold	value
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha16_cross_l2_mean	20260717	True	6	NA	NA	NA	0.03935656591350564
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha4_cross_l2_mean	20260717	True	6	NA	NA	NA	0.09964440934291015
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha1_cross_l2_mean	20260717	True	6	NA	NA	NA	0.325743797903155
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[regular]	20260717	NA	6	NA	NA	NA	0.0015072945724793597
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:regular-mutation[steps=4,scale=0.03]	20260717	NA	6	NA	NA	NA	0.01567746504205561
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=16]	20260717	NA	6	NA	NA	NA	0.035205468195601025
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=4]	20260717	NA	6	NA	NA	NA	0.08675313261750903
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[alpha=1]	20260717	NA	6	NA	NA	NA	0.3645074818137235
narrow_negative_controls	four-step mutation remains narrower than equal-support alpha=1 in this stratum	NA	mutation_within_lt_alpha1	20260717	True	6	NA	NA	NA	1
narrow_negative_controls	alpha=16 remains narrower than equal-support alpha=1 in this stratum	NA	alpha16_within_lt_alpha1	20260717	True	6	NA	NA	NA	1
narrow_negative_controls	within-law diversity order alpha16 <= alpha4 <= alpha1	NA	alpha4_between_alpha16_alpha1	20260717	True	6	NA	NA	NA	1
zonogon_vs_baseline_diversity	strongly exceeds means ratio >= 2; all values are finite-panel raw-grid summaries	NA	within_l2_ratio_zonogon_over_baseline	20260717	False	6	2.0	NA	NA	0.742422744396003
thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	NA	q95_covariance_anisotropy:current-baseline[delta=0.2]	20260717	True	6	NA	NA	10.0	31.452349120557315
thin_shape_anisotropy_tail	q95 of rotation/translation/positive-scale invariant covariance eigenvalue ratio; raw anisotropy tail	NA	q95_covariance_anisotropy:repulsive-gap[alpha=1]	20260717	True	6	NA	NA	10.0	124.87686869641828
thin_shape_anisotropy_tail	triangle q95 exceeds both available non-triangle q95 values; side-stratified tail emphasis	NA	triangle_q95_exceeds_other_sides:current-baseline[delta=0.2]	20260717	False	3	NA	NA	NA	0
thin_shape_anisotropy_tail	triangle q95 exceeds both available non-triangle q95 values; side-stratified tail emphasis	NA	triangle_q95_exceeds_other_sides:repulsive-gap[alpha=1]	20260717	True	3	NA	NA	NA	1
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	baseline_to_alpha1_overlap_fraction	20260718	True	3	NA	0.5	NA	0.9583333333333334
baseline_vs_alpha1_nearest_cross_overlap	directed nearest cross distance <= source within-population pairwise median	24	alpha1_to_baseline_overlap_fraction	20260718	True	3	NA	0.5	NA	1.0
baseline_vs_alpha1_nearest_cross_overlap	both directed overlap fractions >= 0.5	24	bidirectional_substantial	20260718	True	3	NA	1	NA	1
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha16_cross_l2_mean	20260718	True	3	NA	NA	NA	0.23299594570770132
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha4_cross_l2_mean	20260718	True	3	NA	NA	NA	0.4308760909329383
regular_local_order	predeclared local order d(regular,alpha16) < d(regular,alpha4) < d(regular,alpha1)	NA	regular_to_alpha1_cross_l2_mean	20260718	True	3	NA	NA	NA	0.7090332254311342
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:repulsive-gap[regular]	20260718	NA	3	NA	NA	NA	0.0034940502372122124
narrow_negative_controls	descriptive narrow/local control; no global score	NA	within_pairwise_l2_mean:regular-mutation[steps=4,scale=0.03]	20260718	NA	3	NA	NA	NA	0.026673985448985693
