acceptance_fraction	accepted	exhausted	generation_ms_per_accepted	master_seed	max_attempts_observed	population	report	requested	side_count	source_dirty	source_revision	total_generation_ms
1.0	24	0	0.0033209166666666678	20260718	10	current-baseline[delta=0.2]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.07970200000000002
1.0	24	0	0.0020700000000000002	20260718	8	current-baseline[delta=0.2]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.04968
1.0	24	0	0.002300625	20260718	7	current-baseline[delta=0.2]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.055215
0.7083333333333334	17	7	0.09712358823529413	20260718	128	primal-hull-uniform-disk[points=n+4,origin=interior]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	1.6511010000000002
1.0	24	0	0.010295708333333336	20260718	36	primal-hull-uniform-disk[points=n+4,origin=interior]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.24709700000000004
1.0	24	0	0.0036896666666666675	20260718	10	primal-hull-uniform-disk[points=n+4,origin=interior]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.08855200000000002
1.0	24	0	0.0012429583333333333	20260718	9	repulsive-gap[alpha=1]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.029831
1.0	24	0	0.0009923333333333336	20260718	5	repulsive-gap[alpha=1]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.023816000000000004
1.0	24	0	0.001025625	20260718	3	repulsive-gap[alpha=1]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.024615
1.0	24	0	0.0009767916666666668	20260718	2	repulsive-gap[alpha=4]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.023443000000000002
1.0	24	0	0.0009806666666666666	20260718	1	repulsive-gap[alpha=4]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.023535999999999998
1.0	24	0	0.0015750833333333335	20260718	2	repulsive-gap[alpha=4]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.037802
1.0	24	0	0.000794875	20260718	1	repulsive-gap[alpha=16]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.019077
1.0	24	0	0.000625875	20260718	1	repulsive-gap[alpha=16]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.015021000000000001
1.0	24	0	0.0009535416666666668	20260718	1	repulsive-gap[alpha=16]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.022885000000000003
1.0	24	0	0.000457125	20260718	1	repulsive-gap[regular]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.010971
1.0	24	0	0.00048166666666666676	20260718	1	repulsive-gap[regular]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.011560000000000003
1.0	24	0	0.0007602500000000001	20260718	1	repulsive-gap[regular]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.018246000000000002
1.0	24	0	0.0010262083333333336	20260718	1	regular-mutation[steps=4,scale=0.03]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.024629000000000005
1.0	24	0	0.0011496666666666667	20260718	1	regular-mutation[steps=4,scale=0.03]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.027592
1.0	24	0	0.0014892916666666665	20260718	1	regular-mutation[steps=4,scale=0.03]	artifacts/raw/seed-20260718/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.035743
1.0	24	0	0.0013725000000000005	20260718	1	zonogon[lengths=uniform(0.5,1.5)]	artifacts/raw/seed-20260718/zonogon/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.03294000000000001
1.0	24	0	0.0007409583333333334	20260718	1	zonogon[lengths=uniform(0.5,1.5)]	artifacts/raw/seed-20260718/zonogon/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.017783
