definition	first_stable_n	master_seed	pairwise_l2_mean	population	relative_change	requested_n	side_count	stability_threshold	used_n
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260716	0.016722186855300327	regular-mutation[steps=4,scale=0.03]	0.08772938989737723	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260716	0.016629202927643093	regular-mutation[steps=4,scale=0.03]	0.005560512417534737	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.035068694990114564	repulsive-gap[alpha=16]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260716	0.03358466297663104	repulsive-gap[alpha=16]	0.04231785682078713	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260716	0.038356428402682094	repulsive-gap[alpha=16]	0.14208168262314716	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260716	0.03544725020542248	repulsive-gap[alpha=16]	0.07584590949704251	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.07816964063856106	repulsive-gap[alpha=4]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.06020808746066237	repulsive-gap[alpha=4]	0.22977658629580885	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.07065505341621005	repulsive-gap[alpha=4]	0.17351432998720182	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	24	20260716	0.06952867743041381	repulsive-gap[alpha=4]	0.015941902685446364	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.20523025792473595	repulsive-gap[alpha=1]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.1650397375440708	repulsive-gap[alpha=1]	0.19583135930864642	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260716	0.16175189594815764	repulsive-gap[alpha=1]	0.019921514932336876	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260716	0.2245683638899259	repulsive-gap[alpha=1]	0.38835073662383085	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.10304610003648272	current-baseline[delta=0.2]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.41546148457607357	current-baseline[delta=0.2]	3.0318021199150906	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.7343437014016574	current-baseline[delta=0.2]	0.7675373738939079	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.47927672536924354	current-baseline[delta=0.2]	0.3473400473723164	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.002197670420228796	repulsive-gap[regular]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.0040220769455908386	repulsive-gap[regular]	0.8301547441185957	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260717	0.004116487652581966	repulsive-gap[regular]	0.02347312303277151	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260717	0.0039030603080969393	repulsive-gap[regular]	0.051846953640480316	24	3	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.02293054028694749	regular-mutation[steps=4,scale=0.03]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.02715200099095131	regular-mutation[steps=4,scale=0.03]	0.18409774262522538	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260717	0.029689462440642037	regular-mutation[steps=4,scale=0.03]	0.09345393919720181	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260717	0.027838404324603168	regular-mutation[steps=4,scale=0.03]	0.06234730991642836	24	3	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.22922102936537195	repulsive-gap[alpha=16]	NA	4	3	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.17656047594713326	repulsive-gap[alpha=16]	0.22973700783054785	8	3	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.4335802066751544	repulsive-gap[alpha=16]	1.4557036581900666	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260717	0.3655899557809875	repulsive-gap[alpha=16]	0.1568112424124248	24	3	0.15	24
