poly_id	arm	bucket	sys	residual_sign	median_oof_residual	oof_residual_spread	ridge_seed_20260711_residual	ridge_seed_20260712_residual	hist_seed_20260711_residual	hist_seed_20260712_residual	ridge_leave_bucket_out_residual	hist_leave_bucket_out_residual	leave_bucket_out_sign_agrees
d484a08e56997389f55fe59fb9da23695e6f8904b5f308229cce878494ab4c64	product_exact_summary	product-4x4	0.6779866888730158	positive	0.1822754511038453	0.07089378615696218	0.2096719563448236	0.21362295468096848	0.1427291685240063	0.154878945862867	0.21397870251033047	0.15054383690978912	True
d530ffd26470eee302bc2e1bd711cba6b10866c76960306dca84a09575cb3480	product_exact_summary	product-4x4	0.5576801152983051	positive	0.1210031165386484	0.20553312034175691	0.21056757193572823	0.20984762399994533	0.03215860907735146	0.005034451593971312	0.20786996727956475	0.03806107435106354	True
d81cf52f45a9dc56080b8b0e6eaca7f2e393f2802b12a4aef480353e044bac75	product_exact_summary	product-4x4	0.15276730515146889	negative	-0.1177266360027309	0.12033273021387253	-0.17360423570485475	-0.17278823749329883	-0.06266503451216296	-0.053271505490982224	-0.17228583027369113	-0.05834508200775021	True
d836a5d50515c5a72f3c4e4363ce976086818a4852313898c9d293e7b18a41bb	product_exact_summary	product-4x4	0.621487120176356	positive	0.12949772334096138	0.14626818759617366	0.19534904588506397	0.1960287552663469	0.04976056767017323	0.06364640079685879	0.19490389201431074	0.04188541425636916	True
d9124b083e7a137c2ce94defb368f0a5f0003be47747443ec028c95e2d70d1aa	product_exact_summary	product-4x4	0.5551407076790497	positive	0.11906358409456397	0.0929312873503293	0.1514356773582013	0.1515082713834488	0.058576984033119506	0.08669149083092664	0.1541423872135816	0.09003329938538818	True
dbc7611496420c5e481e1f1b950b7d52de503afcd725a92550b4ff6ecc7a85f5	product_exact_summary	product-4x4	0.4749586862892791	positive	0.1137406772005887	0.07031846365344818	0.14233883008188047	0.1428756627261229	0.07255719907267472	0.08514252431929692	0.14216085286190272	0.10438897579715278	True
dcd4801f88a7f0995cf5f30c31d8fc63c83d4410fb801001fe3abdfcdaeae574	product_exact_summary	product-4x4	0.10526492875328679	negative	-0.11941573833642269	0.24030966195213355	-0.245556219586132	-0.23044923268049322	-0.005246557633998436	-0.008382243992352156	-0.24446860429134581	0.0009503955965788624	False
e24b8c98294872b0247a2a77f393b180ba06e5d270ea87e5d5d539a5ca9a8e7b	product_exact_summary	product-4x4	0.18843152223471357	negative	-0.16165603100633844	0.09202225080183662	-0.20692045732602468	-0.1988974243415387	-0.12441463767113817	-0.11489820652418806	-0.20382143586338583	-0.10121806813801135	True
e66659a2c57bb64acd7e6c6f921b2362e1666a1a905c74d39235e1eeb8355ffc	product_exact_summary	product-4x4	0.5411762447333961	positive	0.11213284833486806	0.11284908671365529	0.16830176339806246	0.16855921841399435	0.05596393327167365	0.05571013170033906	0.1696676703005966	0.07977975653040453	True
ec9e42cbce262455a6491d231f5eef912d9a8b46465b9701047263a6e4652fa1	product_exact_summary	product-4x4	0.1775575457391588	negative	-0.12625528026014463	0.1650034131328165	-0.20339512636491716	-0.20577079372322635	-0.04911543415537209	-0.04076738059040985	-0.20689701404438707	-0.04036428743808684	True
ee555b45c956b3f1a2fa42f9704a2aa7dc8d182d79519daa12325cafbdd7d006	product_exact_summary	product-4x4	0.6586342305073875	positive	0.16864967307184758	0.12376139776925932	0.22820358198978297	0.21694639875727795	0.12035294738641722	0.10444218422052365	0.2274944895903615	0.10395800951729262	True
f21b20a137646fd0f52609b370c7c7c5c2421e8f5e9279326796f6e88520945e	product_exact_summary	product-4x4	0.5334517800863694	positive	0.14112888764750672	0.10354508460746953	0.19108020945692455	0.19208213296878202	0.08853704836131249	0.09117756583808889	0.19126852825875362	0.11746211298823939	True
