evidence_source	slice	hypothesis	control_or_bucket	classification	n_selected	selected_mean_sys	selected_max_sys	baseline_mean_sys	baseline_p95_sys	selected_above_baseline_p95	effect_size	support_detail	interpretation_boundary
retained_tail_rule_mining	ridge_symp_area_sum_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_source_facet_product_plus_combinatorial_controls	collapses	1574						0.6195940645125593	precision=0.0775095; recall=0.189736; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_sum_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_strongest_combinatorial_controls	collapses	1635						0.8311574661967744	precision=0.103976; recall=0.264386; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_sum_over_volume_sqrt:top_10_percent_random_product	low_ridge_magnitude_signal	after_nonself_prepared_controls	weakens	1537						1.6933309874871145	precision=0.181522; recall=0.506352; base_rate=0.107198	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_sum_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_other_feature_family_controls	collapses	1635						0.8311574661967744	precision=0.103976; recall=0.264386; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_6:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_6	survives	154						6.649350649350649	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.668831; recall=1; spearman=-0.997102	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_6:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_6	survives	154						6.649350649350649	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.668831; recall=1; spearman=-0.997102	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_6:top_decile	low_ridge_magnitude_signal	random_sample:facet_6	survives	77						6.137862137862138	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.623377; recall=0.923077; spearman=-0.971601	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_7:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_7	survives	154						6.132896229983609	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.616883; recall=0.92233; spearman=-0.983725	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_product_sample:facet_7:top_decile	low_ridge_magnitude_signal	random_product_sample:facet_7	survives	154						6.132896229983609	feature=ridge_symp_area_sum_over_volume_sqrt; rule=lowest_15_percent; precision=0.616883; recall=0.92233; spearman=-0.983725	retained-table fixed source/facet diagnostic; not generated-candidate validation
retained_fixed_source_facet_buckets	random_sample:facet_5:top_decile	low_ridge_magnitude_signal	random_sample:facet_5	survives	77						6.00999000999001	feature=ridge_symp_area_mean_over_volume_sqrt; rule=lowest_15_percent; precision=0.61039; recall=0.903846; spearman=-0.981702	retained-table fixed source/facet diagnostic; not generated-candidate validation
