feature	bucket	rho
ridge max	P4x5	-0.9060530139117373
ridge max	P4x6	-0.8548727178849868
ridge max	P5x5	-0.8465458591123668
ridge max	P5x6	-0.822463052535584
ridge max	P6x6	-0.7570666887204063
ridge q95	G-F10	-0.8538123455041714
ridge q95	G-F11	-0.8163049068161271
ridge q95	G-F12	-0.7823585612146805
ridge q95	G-F5	-0.9517952451047711
ridge q95	G-F6	-0.9397723761458441
ridge q95	G-F7	-0.9144106520582278
ridge q95	G-F8	-0.9137660253659262
ridge q95	G-F9	-0.8855945872100343
ridge q95	P3x3	-0.9952813416422287
ridge q95	P3x4	-0.9595567533617052
ridge q95	P3x5	-0.9292907450289679
ridge q95	P3x6	-0.9113814395429511
ridge q95	P4x4	-0.9341093492954724
ridge q95	P4x5	-0.9063540251055003
ridge q95	P4x6	-0.8758197397360704
ridge q95	P5x5	-0.8509223343287319
ridge q95	P5x6	-0.8052690034689937
ridge q95	P6x6	-0.7619108410521422
ridge std	G-F10	-0.8746729480665133
ridge std	G-F11	-0.8676384704626864
ridge std	G-F12	-0.8277029080978703
ridge std	G-F5	-0.9333806476808459
ridge std	G-F6	-0.9313502077110585
ridge std	G-F7	-0.9234677911960266
ridge std	G-F8	-0.9315020213204244
ridge std	G-F9	-0.9006734873713965
ridge std	P3x3	-0.9929689288141048
ridge std	P3x4	-0.9661541891674416
ridge std	P3x5	-0.9429137646627566
ridge std	P3x6	-0.9282128759566555
ridge std	P4x4	-0.9447360480294685
ridge std	P4x5	-0.9253684576389386
ridge std	P4x6	-0.8916365960946999
ridge std	P5x5	-0.8765704795794292
ridge std	P5x6	-0.8554302490880481
ridge std	P6x6	-0.7871478814998927
max share	G-F10	-0.6635368744349458
max share	G-F11	-0.6830352672491732
max share	G-F12	-0.6231169926814754
max share	G-F5	-0.57486672946636
max share	G-F6	-0.6276144485071126
max share	G-F7	-0.6840711403222669
max share	G-F8	-0.691207095220929
max share	G-F9	-0.6723332124546526
max share	P3x3	-0.7702025515433155
max share	P3x4	-0.6046918832156366
max share	P3x5	-0.5090111817856847
max share	P3x6	-0.36772827058875635
max share	P4x4	-0.6068208698570992
max share	P4x5	-0.5729780100334607
max share	P4x6	-0.495878424290108
max share	P5x5	-0.5999991506330019
max share	P5x6	-0.5954709628245476
max share	P6x6	-0.5571776987518775
top-3 share	G-F10	-0.7021362445783408
top-3 share	G-F11	-0.7216491213765006
top-3 share	G-F12	-0.6542335075702956
top-3 share	G-F5	-0.560518644642428
top-3 share	G-F6	-0.6682092109554709
top-3 share	G-F7	-0.7114031332612353
top-3 share	G-F8	-0.7289728316224351
top-3 share	G-F9	-0.7267702825843146
top-3 share	P3x3	-0.7085176616626104
top-3 share	P3x4	-0.6397974371468421
top-3 share	P3x5	-0.56250740960947
top-3 share	P3x6	-0.45929084561190187
top-3 share	P4x4	-0.702723987018096
top-3 share	P4x5	-0.6663027389850511
top-3 share	P4x6	-0.6117848888670339
top-3 share	P5x5	-0.6752469199270439
top-3 share	P5x6	-0.6664990098168944
top-3 share	P6x6	-0.6114204992489808
ridge median	G-F10	0.28385586540552293
ridge median	G-F11	0.3707953531087994
ridge median	G-F12	0.31591661087650635
ridge median	G-F5	-0.7649329874343392
ridge median	G-F6	-0.058301611620375136
ridge median	G-F7	0.17104744595507032
ridge median	G-F8	0.215667057197789
ridge median	G-F9	0.37269177152355776
ridge median	P3x3	-0.06187972739789715
ridge median	P3x4	0.06510755668407124
ridge median	P3x5	0.09159328955368
ridge median	P3x6	0.038641001627208356
ridge median	P4x4	0.3130058092232315
ridge median	P4x5	0.3358079715327945
ridge median	P4x6	0.2610965886739146
ridge median	P5x5	0.3844135009119519
ridge median	P5x6	0.3702729820828267
ridge median	P6x6	0.29662812477648237
ridge q25	G-F10	0.31931578732790883
ridge q25	G-F11	0.4210627346047768
ridge q25	G-F12	0.3050023031322599
ridge q25	G-F5	-0.21712064121490943
ridge q25	G-F6	0.2240088484624804
ridge q25	G-F7	0.3404580229111592
ridge q25	G-F8	0.36605596110710564
ridge q25	G-F9	0.44075406839015346
ridge q25	P3x3	-0.33324598790757237
ridge q25	P3x4	-0.38027708786861014
ridge q25	P3x5	-0.5083595766329969
ridge q25	P3x6	-0.5844115726368481
ridge q25	P4x4	-0.5063432627315643
ridge q25	P4x5	-0.5107823187237991
ridge q25	P4x6	-0.6231031511515628
ridge q25	P5x5	-0.6253622103211501
ridge q25	P5x6	-0.5805003218653887
ridge q25	P6x6	0.13377868848794794
