capacity_source	facet_count	rows	label	sys_threshold	feature	mathematical_quantity	spearman_with_sys	feature_tail_rule	target_feature_mean	rest_feature_mean	positives	selected	hits	base_rate	precision	recall	enrichment
random_product_sample	8	2048	top_decile	0.5555716601375936	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.9067933681785152	lowest_15_percent	1.357227313094322	4.696195087728075	205	308	147	0.10009765625	0.4772727272727273	0.7170731707317073	4.7680709534368075
random_sample	10	512	top_decile	0.5948021501689152	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9032457356290269	lowest_15_percent	14.414538184156145	21.990085258030014	52	77	36	0.1015625	0.4675324675324675	0.6923076923076923	4.603396603396603
random_product_sample	9	2048	top_decile	0.5955612006446798	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.8983304504981222	lowest_15_percent	1.1028769120196613	3.3876358488202563	205	308	140	0.10009765625	0.45454545454545453	0.6829268292682927	4.541019955654102
random_sample	8	512	top_decile	0.5074311627754989	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9489128428949085	lowest_15_percent	15.024231828102511	48.24052144418611	52	77	35	0.1015625	0.45454545454545453	0.6730769230769231	4.475524475524475
random_sample	8	512	top_decile	0.5074311627754989	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.9178050899222944	lowest_15_percent	1.4108488227873788	6.875664559926095	52	77	35	0.1015625	0.45454545454545453	0.6730769230769231	4.475524475524475
random_sample	7	512	top_decile	0.4845712668241673	ridge_symp_area_max_over_volume_sqrt	maximum cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.9095629878062736	lowest_15_percent	2.3899300033421707	8.018681889608013	52	77	35	0.1015625	0.45454545454545453	0.6730769230769231	4.475524475524475
random_sample	8	512	top_decile	0.5074311627754989	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9487826658541331	lowest_15_percent	0.6080546666410417	1.913396817330471	52	77	34	0.1015625	0.44155844155844154	0.6538461538461539	4.347652347652348
random_sample	7	512	top_decile	0.4845712668241673	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.9097997383584532	lowest_15_percent	1.660655341064596	5.358565712074307	52	77	34	0.1015625	0.44155844155844154	0.6538461538461539	4.347652347652348
random_sample	10	512	top_decile	0.5948021501689152	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.8966896765315114	lowest_15_percent	0.3995410413135855	0.6092401649606375	52	77	34	0.1015625	0.44155844155844154	0.6538461538461539	4.347652347652348
random_product_sample	11	1024	top_decile	0.6694336396369927	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9076726897217651	lowest_15_percent	0.25470902167276877	0.4148769395572518	103	154	65	0.1005859375	0.42207792207792205	0.6310679611650486	4.196192157357205
random_product_sample	11	1024	top_decile	0.6694336396369927	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9076726897217651	lowest_15_percent	10.44306988858352	17.009954521847323	103	154	65	0.1005859375	0.42207792207792205	0.6310679611650486	4.196192157357205
random_product_sample	10	2048	top_decile	0.6358362518931353	ridge_symp_area_max_over_volume_sqrt	maximum cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.8516807672849638	lowest_15_percent	1.3594989822051042	3.702412023743697	205	308	124	0.10009765625	0.4025974025974026	0.6048780487804878	4.02204624643649
random_sample	8	512	top_decile	0.5074311627754989	ridge_symp_area_max_over_volume_sqrt	maximum cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.9058617934676875	lowest_15_percent	2.0827609879295954	12.655270842680839	52	77	31	0.1015625	0.4025974025974026	0.5961538461538461	3.9640359640359644
random_sample	11	512	top_decile	0.608504163087549	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.8564114159542693	lowest_15_percent	0.35409498149660656	0.5263834384847842	52	77	31	0.1015625	0.4025974025974026	0.5961538461538461	3.9640359640359644
random_sample	12	512	top_decile	0.6327039735761916	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.8326309495199186	lowest_15_percent	0.3025416822448236	0.5110534975212283	52	77	31	0.1015625	0.4025974025974026	0.5961538461538461	3.9640359640359644
random_sample	12	512	top_decile	0.6327039735761916	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.840943772816745	lowest_15_percent	14.376311514236031	24.295565762142804	52	77	30	0.1015625	0.38961038961038963	0.5769230769230769	3.8361638361638364
random_sample	10	512	top_decile	0.5948021501689152	ridge_symp_area_max_over_volume_sqrt	maximum cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.8408387192295808	lowest_15_percent	1.4908413873983595	3.6877448561870025	52	77	30	0.1015625	0.38961038961038963	0.5769230769230769	3.8361638361638364
random_sample	9	512	top_decile	0.5178827755320022	ridge_symp_area_max_over_volume_sqrt	maximum cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.8694935827010448	lowest_15_percent	1.864847155994575	5.207800542893431	52	77	29	0.1015625	0.37662337662337664	0.5576923076923077	3.7082917082917084
random_sample	11	512	top_decile	0.608504163087549	ridge_symp_area_max_over_volume_sqrt	maximum cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.8330879102722559	lowest_15_percent	1.461253290760713	3.584620147144692	52	77	29	0.1015625	0.37662337662337664	0.5576923076923077	3.7082917082917084
random_product_sample	12	1024	top_decile	0.7082581054962026	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.87767912702954	lowest_15_percent	0.20944226568463767	0.30823302056204355	103	154	56	0.1005859375	0.36363636363636365	0.5436893203883495	3.615180935569285
random_product_sample	12	1024	top_decile	0.7082581054962026	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.87767912702954	lowest_15_percent	10.053228752862609	14.795184986978091	103	154	56	0.1005859375	0.36363636363636365	0.5436893203883495	3.615180935569285
random_product_sample	11	1024	top_decile	0.6694336396369927	ridge_symp_area_max_over_volume_sqrt	maximum cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.8224630525355838	lowest_15_percent	1.1547399649600218	2.778432059793085	103	154	56	0.1005859375	0.36363636363636365	0.5436893203883495	3.615180935569285
random_sample	11	512	top_decile	0.608504163087549	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.8644884721793067	lowest_15_percent	14.756492532255358	22.028720323319394	52	77	28	0.1015625	0.36363636363636365	0.5384615384615384	3.5804195804195804
random_product_sample	10	2048	top_decile	0.6358362518931353	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.8596023200621773	lowest_15_percent	0.8332754253781633	2.041177901197309	205	308	110	0.10009765625	0.35714285714285715	0.5365853658536586	3.56794425087108
random_sample	9	512	top_decile	0.5178827755320022	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.8753871336446138	lowest_15_percent	1.1855209604594654	2.475197206936916	52	77	26	0.1015625	0.33766233766233766	0.5	3.324675324675325
random_sample	5	512	top_decile	0.35604027629944995	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.7649329874343392	lowest_15_percent	1.5035227969017864	3.09785860621554	52	77	26	0.1015625	0.33766233766233766	0.5	3.324675324675325
random_sample	10	512	top_decile	0.5948021501689152	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.8143556486822078	lowest_15_percent	0.9789304455626705	1.6759358407275133	52	77	24	0.1015625	0.3116883116883117	0.46153846153846156	3.068931068931069
random_product_sample	11	1024	top_decile	0.6694336396369927	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.7581239829947785	lowest_15_percent	0.683246168153667	1.1819370569385226	103	154	46	0.1005859375	0.2987012987012987	0.44660194174757284	2.969612911360484
random_sample	12	512	top_decile	0.6327039735761916	ridge_symp_area_max_over_volume_sqrt	maximum cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.7888029505842231	lowest_15_percent	1.3342512389062533	4.283372503274541	52	77	23	0.1015625	0.2987012987012987	0.4423076923076923	2.941058941058941
random_sample	11	512	top_decile	0.608504163087549	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.756180995439512	lowest_15_percent	0.8674283196797862	1.4126460318896485	52	77	23	0.1015625	0.2987012987012987	0.4423076923076923	2.941058941058941
random_product_sample	12	1024	top_decile	0.7082581054962026	ridge_symp_area_max_over_volume_sqrt	maximum cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.7570666887204062	lowest_15_percent	1.037692511302869	2.1444066942978175	103	154	40	0.1005859375	0.2597402597402597	0.3883495145631068	2.5822720968352035
random_sample	12	512	top_decile	0.6327039735761916	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.737276267151898	lowest_15_percent	0.7469890461343467	1.2217773749051997	52	77	19	0.1015625	0.24675324675324675	0.36538461538461536	2.4295704295704295
random_product_sample	12	1024	top_decile	0.7082581054962026	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.7258376770259637	lowest_15_percent	0.5720661306900039	0.9197529824144145	103	154	31	0.1005859375	0.2012987012987013	0.30097087378640774	2.001260875047283
random_product_sample	11	1024	top_decile	0.6694336396369927	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	0.3702729820828266	highest_15_percent	0.14420136696907107	0.11599823450531445	103	154	24	0.1005859375	0.15584415584415584	0.23300970873786409	1.549363258101122
random_product_sample	10	2048	top_decile	0.6358362518931353	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	0.31499147102033404	highest_15_percent	0.1822434832473337	0.15189671591026313	205	308	38	0.10009765625	0.12337662337662338	0.18536585365853658	1.2325625593918277
random_sample	11	512	top_decile	0.608504163087549	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	0.3707953531087994	highest_15_percent	0.23372562419300497	0.20895856103941576	52	77	9	0.1015625	0.11688311688311688	0.17307692307692307	1.1508491508491507
random_product_sample	6	1024	top_decile	0.4520867242113684	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.061879727397897134	lowest_15_percent	0.5695744796887783	0.8495190243733748	103	154	16	0.1005859375	0.1038961038961039	0.1553398058252427	1.0329088387340815
random_product_sample	12	1024	top_decile	0.7082581054962026	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	0.2966281247764823	highest_15_percent	0.10943341587811503	0.10063327328957815	103	154	15	0.1005859375	0.09740259740259741	0.14563106796116504	0.9683520363132014
random_sample	12	512	top_decile	0.6327039735761916	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	0.31591661087650635	highest_15_percent	0.1963880685183739	0.18465883972074823	52	77	7	0.1015625	0.09090909090909091	0.1346153846153846	0.8951048951048951
random_product_sample	8	2048	top_decile	0.5555716601375936	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	0.18589270681937503	highest_15_percent	0.3136679083661664	0.29124108847182667	205	308	20	0.10009765625	0.06493506493506493	0.0975609756097561	0.6487171365220145
random_sample	8	512	top_decile	0.5074311627754989	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	0.215667057197789	highest_15_percent	0.44135608283659866	0.42495214456440017	52	77	5	0.1015625	0.06493506493506493	0.09615384615384616	0.6393606393606392
random_product_sample	9	2048	top_decile	0.5955612006446798	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	0.1452053200197983	highest_15_percent	0.22873444560997308	0.23107481781799774	205	308	16	0.10009765625	0.05194805194805195	0.07804878048780488	0.5189737092176117
random_sample	9	512	top_decile	0.5178827755320022	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	0.37269177152355776	highest_15_percent	0.3267494692889438	0.314603996676426	52	77	4	0.1015625	0.05194805194805195	0.07692307692307693	0.5114885114885115
random_sample	10	512	top_decile	0.5948021501689152	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	0.28385586540552293	highest_15_percent	0.26888622921429073	0.261071442104013	52	77	4	0.1015625	0.05194805194805195	0.07692307692307693	0.5114885114885115
random_sample	6	512	top_decile	0.4036306508685569	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.058301611620375136	lowest_15_percent	0.8818455452419174	1.10969493408888	52	77	4	0.1015625	0.05194805194805195	0.07692307692307693	0.5114885114885115
random_product_sample	7	1024	top_decile	0.49206190816317874	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	0.06510755668407123	highest_15_percent	0.38752345465077376	0.45414914572999954	103	154	4	0.1005859375	0.025974025974025976	0.038834951456310676	0.25822720968352036
random_sample	7	512	top_decile	0.4845712668241673	ridge_symp_area_median_over_volume_sqrt	median cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	0.17104744595507032	highest_15_percent	0.5888936160881729	0.6029898972345383	52	77	1	0.1015625	0.012987012987012988	0.019230769230769232	0.12787212787212787
random_product_sample	6	1024	top_five_percent	0.5032340724101262	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9971023397825619	lowest_15_percent	0.9543263874906566	3.193651788700681	52	154	52	0.05078125	0.33766233766233766	1.0	6.64935064935065
random_product_sample	6	1024	top_five_percent	0.5032340724101262	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9971023397825619	lowest_15_percent	14.31489581235985	47.904776830510215	52	154	52	0.05078125	0.33766233766233766	1.0	6.64935064935065
random_product_sample	6	1024	top_five_percent	0.5032340724101262	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.988188277841356	lowest_15_percent	2.255843166482701	10.001879936896993	52	154	52	0.05078125	0.33766233766233766	1.0	6.64935064935065
