selection	fraction	group	n	observed	simulated_mean	simulated_median	pointwise_lower_025	pointwise_upper_975	observed_above_envelope	observed_below_envelope
high_sys	0.02	P3x3	21	-0.2792207792207792	-0.9335805194805195	-0.9428571428571428	-0.9818181818181818	-0.8376623376623377	True	False
high_sys	0.01	P3x3	11	-0.29090909090909095	-0.9112454545454546	-0.9272727272727272	-0.990909090909091	-0.7090909090909091	True	False
low_R	1.0	P3x3	1024	-0.997102339782562	-0.9969871842366425	-0.9969989461143695	-0.9973837498770654	-0.9964879568700379	False	False
low_R	0.5	P3x3	512	-0.9773837061260457	-0.9889321742748709	-0.988960656135201	-0.9911062862457227	-0.986482397310342	True	False
low_R	0.2	P3x3	205	-0.7675558217603877	-0.9765969954451114	-0.9768821997186277	-0.9841279547575602	-0.9669337382123107	True	False
low_R	0.1	P3x3	103	-0.1453564995826561	-0.966327153714361	-0.9679908184334227	-0.9799724333347977	-0.9437173263629575	True	False
low_R	0.05	P3x3	52	0.028771450525057623	-0.954975924186801	-0.9573123879450184	-0.9779753265602322	-0.9165862716639631	True	False
low_R	0.02	P3x3	21	0.18961038961038962	-0.9332662337662337	-0.9428571428571428	-0.9818181818181818	-0.8336688311688312	True	False
low_R	0.01	P3x3	11	-0.18181818181818182	-0.9114999999999999	-0.9272727272727272	-0.990909090909091	-0.7181818181818181	True	False
high_sys	1.0	P3x4	1024	-0.9837245860453471	-0.9834380762619805	-0.9834883334972463	-0.9856268674898075	-0.9811498219123275	False	False
high_sys	0.5	P3x4	512	-0.9177984737814857	-0.9453718513428262	-0.9457115695202618	-0.9556585885375539	-0.932921572445669	True	False
high_sys	0.2	P3x4	205	-0.6780863896588709	-0.8997352857600535	-0.9016979844270173	-0.9284301305177529	-0.8609227131534594	True	False
high_sys	0.1	P3x4	103	-0.35343539955190445	-0.8695722005008127	-0.8716337916794799	-0.9210154636910776	-0.8039554320608004	True	False
high_sys	0.05	P3x4	52	-0.4156065909673013	-0.8386128233586614	-0.8461111585417912	-0.9193268163578929	-0.7207376419363101	True	False
high_sys	0.02	P3x4	21	-0.35844155844155845	-0.798687012987013	-0.8201298701298702	-0.9337662337662338	-0.5453246753246754	True	False
high_sys	0.01	P3x4	11	-0.44545454545454555	-0.7552272727272727	-0.7909090909090909	-0.9545454545454546	-0.34545454545454546	False	False
low_R	1.0	P3x4	1024	-0.9837245860453471	-0.9834380762619805	-0.9834883334972463	-0.9856268674898075	-0.9811498219123275	False	False
low_R	0.5	P3x4	512	-0.9104763728670993	-0.9453577215906489	-0.9457992780896305	-0.9551280612168263	-0.9334214956447912	True	False
low_R	0.2	P3x4	205	-0.6354403755345377	-0.8997215277681045	-0.9012912482065998	-0.9284946581047764	-0.8614380632669832	True	False
low_R	0.1	P3x4	103	-0.46728243201686953	-0.8684216381847735	-0.870661819619558	-0.9189446689803629	-0.8015872797961604	True	False
low_R	0.05	P3x4	52	-0.2816528643387689	-0.8393660889609834	-0.8456415948091863	-0.9206245197643644	-0.7225198497396056	True	False
low_R	0.02	P3x4	21	-0.36103896103896105	-0.7991818181818182	-0.8155844155844156	-0.9376948051948052	-0.5596428571428572	True	False
low_R	0.01	P3x4	11	-0.018181818181818184	-0.7566363636363637	-0.7909090909090909	-0.9545454545454546	-0.35431818181818203	True	False
high_sys	1.0	P3x5	1024	-0.9751292714219297	-0.974835294193906	-0.9748683984067663	-0.9782151320877441	-0.9710324019539912	False	False
high_sys	0.5	P3x5	512	-0.8837991096462617	-0.9208744138456872	-0.9214225096130737	-0.9358544428458417	-0.9039715508627448	True	False
high_sys	0.2	P3x5	205	-0.6489532114053292	-0.8608592985193129	-0.8624019723920826	-0.898176756139349	-0.8128937471270772	True	False
high_sys	0.1	P3x5	103	-0.5876312436849273	-0.8242373259236481	-0.830102578746211	-0.8830135526951632	-0.7387830580327726	True	False
high_sys	0.05	P3x5	52	-0.4425851617860496	-0.790039699479211	-0.7985144711004867	-0.886807393494408	-0.6440664219243575	True	False
high_sys	0.02	P3x5	21	-0.5233766233766234	-0.7449714285714285	-0.7636363636363637	-0.9130194805194806	-0.4791883116883117	False	False
high_sys	0.01	P3x5	11	-0.11818181818181818	-0.7070454545454545	-0.7454545454545455	-0.9454545454545454	-0.2725000000000002	True	False
low_R	1.0	P3x5	1024	-0.9751292714219297	-0.974835294193906	-0.9748683984067663	-0.9782151320877441	-0.9710324019539912	False	False
low_R	0.5	P3x5	512	-0.8807960075702956	-0.9206923091297021	-0.9215939034229409	-0.9349564939567813	-0.9029549070664675	True	False
low_R	0.2	P3x5	205	-0.663016255519494	-0.8607204496385341	-0.8625245504311125	-0.8998679500215905	-0.8132641278154644	True	False
low_R	0.1	P3x5	103	-0.5855225585379782	-0.8258740280279401	-0.8297950621622809	-0.8866946909458332	-0.7441264332469358	True	False
low_R	0.05	P3x5	52	-0.5367540339793392	-0.7889538973789806	-0.7980022197558269	-0.8860304789550072	-0.6379194057884402	True	False
low_R	0.02	P3x5	21	-0.6558441558441558	-0.7470493506493505	-0.7636363636363637	-0.9168831168831169	-0.46613636363636374	False	False
low_R	0.01	P3x5	11	-0.790909090909091	-0.7021818181818182	-0.7272727272727273	-0.9454545454545454	-0.2725000000000002	False	False
high_sys	1.0	P3x6	1024	-0.9745203199878405	-0.9742335521757206	-0.9743443892604249	-0.977591405579447	-0.9700946379237895	False	False
high_sys	0.5	P3x6	512	-0.8836553426946361	-0.9190585338918072	-0.9195284604919833	-0.933321361694762	-0.9021092033379683	True	False
high_sys	0.2	P3x6	205	-0.6654093131451017	-0.8592652031591703	-0.8609651627641348	-0.899810735328941	-0.8097476354974857	True	False
high_sys	0.1	P3x6	103	-0.5094890831612705	-0.8228508764222643	-0.8266869481175592	-0.8911385801520011	-0.7337334709836137	True	False
high_sys	0.05	P3x6	52	-0.27439597028942203	-0.7901190130624093	-0.7973192179629471	-0.893808161871425	-0.6397763169128319	True	False
high_sys	0.02	P3x6	21	-0.34935064935064936	-0.7340142857142857	-0.7610389610389611	-0.8961688311688312	-0.42853896103896105	True	False
high_sys	0.01	P3x6	11	-0.39090909090909093	-0.6905181818181818	-0.7363636363636363	-0.9363636363636364	-0.1815909090909093	False	False
low_R	1.0	P3x6	1024	-0.9745203199878405	-0.9742335521757206	-0.9743443892604249	-0.977591405579447	-0.9700946379237895	False	False
low_R	0.5	P3x6	512	-0.8819704619711379	-0.9191870609207093	-0.9195973041193166	-0.9328269169284512	-0.902604300777629	True	False
low_R	0.2	P3x6	205	-0.660770848713627	-0.8587357454276998	-0.8604901728628938	-0.8975143472022956	-0.8103414425206502	True	False
