selection	fraction	group	n	observed	simulated_mean	simulated_median	pointwise_lower_025	pointwise_upper_975	observed_above_envelope	observed_below_envelope
high_sys	0.05	P4x6	52	-0.27354221804832235	-0.6548706565354735	-0.6645607444719542	-0.8054597455818322	-0.4482946298984035	True	False
high_sys	0.02	P4x6	21	-0.006493506493506493	-0.5883467532467532	-0.6116883116883117	-0.8481168831168832	-0.21292207792207796	True	False
high_sys	0.01	P4x6	11	0.23636363636363636	-0.554390909090909	-0.5909090909090909	-0.9	0.00909090909090909	True	False
low_R	1.0	P4x6	1024	-0.9406243741506328	-0.9403050960008226	-0.9403637805325085	-0.9486845984617517	-0.9309357733263	False	False
low_R	0.5	P4x6	512	-0.7123408371098979	-0.8373409631742027	-0.8375643106768063	-0.8675186981974057	-0.8039484100161934	True	False
low_R	0.2	P4x6	205	-0.32702010001253634	-0.7479019849284729	-0.7504373807301751	-0.8136157039183184	-0.6679334108732293	True	False
low_R	0.1	P4x6	103	-0.2057944910600536	-0.6960126740763519	-0.7000120810086543	-0.8016325835786144	-0.5825701247638713	True	False
low_R	0.05	P4x6	52	0.12669683257918551	-0.6516853922991548	-0.662767864765645	-0.8011824468539229	-0.4507683770169897	True	False
low_R	0.02	P4x6	21	0.3246753246753247	-0.5949688311688313	-0.6155844155844156	-0.845487012987013	-0.22061688311688327	True	False
low_R	0.01	P4x6	11	-0.15454545454545454	-0.5461454545454545	-0.5909090909090909	-0.8909090909090909	0.03636363636363636	False	False
high_sys	1.0	P5x5	1024	-0.928933932658608	-0.9285532918894391	-0.9286235784278664	-0.9381191667486232	-0.9182091116403512	False	False
high_sys	0.5	P5x5	512	-0.6845006530309792	-0.8117439034050594	-0.8125044256617571	-0.8446009474671267	-0.775938179942579	True	False
high_sys	0.2	P5x5	205	-0.40624033653243435	-0.7170980902898693	-0.7198513741276762	-0.7888852014876516	-0.638434622724297	True	False
high_sys	0.1	P5x5	103	-0.16225892896366914	-0.6672570179677547	-0.6731922417958969	-0.7776127926898915	-0.5259703246496508	True	False
high_sys	0.05	P5x5	52	-0.1269529582515154	-0.622614103987023	-0.632630410654828	-0.7887411423204986	-0.4063689917186033	True	False
high_sys	0.02	P5x5	21	0.0012987012987012987	-0.5639233766233765	-0.5831168831168831	-0.8299025974025974	-0.2051623376623377	True	False
high_sys	0.01	P5x5	11	0.7727272727272727	-0.5246181818181819	-0.5545454545454546	-0.8818181818181818	0.03659090909090888	True	False
low_R	1.0	P5x5	1024	-0.928933932658608	-0.9285532918894391	-0.9286235784278664	-0.9381191667486232	-0.9182091116403512	False	False
low_R	0.5	P5x5	512	-0.6629262225197698	-0.8122357728832641	-0.8130921893060277	-0.8423917889937458	-0.7766356396484935	True	False
low_R	0.2	P5x5	205	-0.2909960858603446	-0.7177180092212115	-0.7212979342814558	-0.7823828543967907	-0.6365457717541196	True	False
low_R	0.1	P5x5	103	-0.015244036374818784	-0.6649182774678206	-0.6696997320212625	-0.7732570399332249	-0.5353990027676494	True	False
low_R	0.05	P5x5	52	0.13062409288824384	-0.6261107316656707	-0.6365576709638863	-0.7902352087424229	-0.40963032527960386	True	False
low_R	0.02	P5x5	21	0.09480519480519481	-0.5599025974025974	-0.5772727272727273	-0.8325	-0.199935064935065	True	False
low_R	0.01	P5x5	11	0.7454545454545456	-0.5234909090909091	-0.5545454545454546	-0.8909090909090909	0.045454545454545456	True	False
high_sys	1.0	P5x6	1024	-0.9076726897217653	-0.9073416402841356	-0.9075926871736643	-0.9189943240491559	-0.8947442086581789	False	False
high_sys	0.5	P5x6	512	-0.5772215391503874	-0.7710104518931462	-0.7717728253281606	-0.8094161675950722	-0.7268227602038773	True	False
high_sys	0.2	P5x6	205	-0.25831510913624267	-0.6670644384393587	-0.6693652407683415	-0.7415041230794946	-0.5731997395216671	True	False
high_sys	0.1	P5x6	103	-0.14128190484558276	-0.6140215591090805	-0.6179435926723191	-0.7435226573825946	-0.47426635329262407	True	False
high_sys	0.05	P5x6	52	-0.24699052335012378	-0.571520191240502	-0.5785878937932212	-0.7570968155041407	-0.3440429437377273	True	False
high_sys	0.02	P5x6	21	0.045454545454545456	-0.5133818181818182	-0.5279220779220779	-0.7987337662337662	-0.13886363636363644	True	False
high_sys	0.01	P5x6	11	-0.19090909090909092	-0.4700363636363636	-0.5	-0.8547727272727272	0.11818181818181818	False	False
low_R	1.0	P5x6	1024	-0.9076726897217653	-0.9073416402841356	-0.9075926871736643	-0.9189943240491559	-0.8947442086581789	False	False
low_R	0.5	P5x6	512	-0.5570280045147114	-0.7704367035596984	-0.7711403133261235	-0.8064596042582197	-0.7275001434987297	True	False
low_R	0.2	P5x6	205	-0.17856137956011198	-0.6665624298310374	-0.6687391177167055	-0.7498055466562661	-0.5718625593737376	True	False
low_R	0.1	P5x6	103	0.06489698194438343	-0.6148166212713615	-0.6187288582348548	-0.7380985590651495	-0.4644140161665861	True	False
low_R	0.05	P5x6	52	0.18415435840519082	-0.5797075044821993	-0.5872107914283275	-0.7515623666012123	-0.3541492358917443	True	False
low_R	0.02	P5x6	21	0.22727272727272727	-0.518674025974026	-0.5363636363636364	-0.8013311688311688	-0.14415584415584415	True	False
low_R	0.01	P5x6	11	0.4272727272727273	-0.48007272727272726	-0.509090909090909	-0.8729545454545454	0.054999999999999584	True	False
high_sys	1.0	P6x6	1024	-0.87767912702954	-0.8772214714053895	-0.8774695568986481	-0.8922896715855447	-0.8615401286791002	False	False
high_sys	0.5	P6x6	512	-0.4893884254014031	-0.7174638015737116	-0.7196461741539923	-0.7592470536715648	-0.6682353335357515	True	False
high_sys	0.2	P6x6	205	-0.21236227382262401	-0.6098107701522475	-0.611411597554011	-0.7038259322199161	-0.501045012606037	True	False
high_sys	0.1	P6x6	103	-0.10607125598559067	-0.5524197491543293	-0.5551772613451654	-0.6793332381496288	-0.394160479725871	True	False
high_sys	0.05	P6x6	52	0.023563561854349865	-0.5088328353111927	-0.5150260394433536	-0.7026530350892172	-0.2640954495005551	True	False
high_sys	0.02	P6x6	21	-0.4727272727272727	-0.46433636363636366	-0.4876623376623377	-0.7766558441558442	-0.050487012987013136	False	False
high_sys	0.01	P6x6	11	-0.39090909090909093	-0.4275272727272727	-0.4636363636363636	-0.8545454545454545	0.23636363636363636	False	False
low_R	1.0	P6x6	1024	-0.87767912702954	-0.8772214714053895	-0.8774695568986481	-0.8922896715855447	-0.8615401286791002	False	False
low_R	0.5	P6x6	512	-0.4496143326352411	-0.718169946931398	-0.720236798832126	-0.7623321243677115	-0.6643048250978474	True	False
low_R	0.2	P6x6	205	-0.20658439080107535	-0.611095151202797	-0.6138666406652644	-0.6981468777423354	-0.5074046886099929	True	False
low_R	0.1	P6x6	103	0.006018538856916927	-0.5502552826956025	-0.5549136757017967	-0.6816151759434169	-0.40249170803496903	True	False
low_R	0.05	P6x6	52	0.038589601297703405	-0.5087921967045164	-0.518398360795697	-0.699489883035943	-0.27447067361051825	True	False
low_R	0.02	P6x6	21	0.05324675324675325	-0.46227662337662334	-0.4779220779220779	-0.7689285714285714	-0.04798701298701305	True	False
low_R	0.01	P6x6	11	0.1272727272727273	-0.42242727272727276	-0.4636363636363636	-0.8545454545454545	0.19090909090909092	False	False
