left_overlap_fraction	left_to_right_nearest_mean	n_left	n_right	overlap_definition	population_left	population_right	right_overlap_fraction	right_to_left_nearest_mean	sample_status	side_count
0.8333333333333334	0.09239537034500944	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	zonogon[lengths=uniform(0.5,1.5)]	0.9583333333333334	0.07561186203001163	descriptive	6
0.3333333333333333	0.08905430317361314	24	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	regular-mutation[steps=4,scale=0.03]	0.0	0.054803768462708825	descriptive	6
0.625	0.0694840202459542	24	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=16]	0.041666666666666664	0.04551292959035422	descriptive	6
1.0	0.049787889909239526	24	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=1]	0.7083333333333334	0.34795796341650687	descriptive	6
0.9583333333333334	0.04498350914734293	24	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	0.9583333333333334	0.04289289556245618	descriptive	6
0.125	0.10374414671966997	24	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	0.0	0.061141462519401606	descriptive	6
0.625	0.06478600819328724	24	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	zonogon[lengths=uniform(0.5,1.5)]	0.75	0.10989259829142713	descriptive	6
0.3333333333333333	0.016677995348594005	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=16]	0.6666666666666666	0.028795439095082493	descriptive	6
0.0	0.061952857372806945	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=1]	0.6666666666666666	0.42999336658232057	descriptive	6
0.0	0.03286439555663303	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=4]	0.5	0.07541305245673414	descriptive	6
0.4583333333333333	0.015548778478081983	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	repulsive-gap[regular]	0.0	0.007547459041960468	descriptive	6
0.0	0.031233572612778204	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	zonogon[lengths=uniform(0.5,1.5)]	0.4583333333333333	0.17150713165417839	descriptive	6
0.0	0.051142578561401246	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=16]	repulsive-gap[alpha=1]	0.6666666666666666	0.40828362815768243	descriptive	6
0.8333333333333334	0.026407523621140183	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=16]	repulsive-gap[alpha=4]	0.6666666666666666	0.05244308983772333	descriptive	6
0.20833333333333334	0.040268994339032686	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=16]	repulsive-gap[regular]	0.0	0.019690519005038817	descriptive	6
0.25	0.036808923227062806	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=16]	zonogon[lengths=uniform(0.5,1.5)]	0.5	0.1533338296415557	descriptive	6
0.7083333333333334	0.3239712085654203	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=1]	repulsive-gap[alpha=4]	1.0	0.040171622797285964	descriptive	6
0.625	0.44408346947272365	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=1]	repulsive-gap[regular]	0.0	0.06966136392902908	descriptive	6
0.875	0.2703638127723249	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=1]	zonogon[lengths=uniform(0.5,1.5)]	1.0	0.06800675167984815	descriptive	6
0.3333333333333333	0.08923567185822201	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=4]	repulsive-gap[regular]	0.0	0.0386519353982452	descriptive	6
0.7083333333333334	0.05234131053805085	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=4]	zonogon[lengths=uniform(0.5,1.5)]	0.7916666666666666	0.09787944271208171	descriptive	6
0.0	0.031960440436536064	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[regular]	zonogon[lengths=uniform(0.5,1.5)]	0.3333333333333333	0.18735413501030193	descriptive	6
