pairwise_l2_mean	population	relative_change	requested_n	sample_status	selection	side_count	used_n
0.1585622771897812	current-baseline[delta=0.2]	0.11409879006925658	8	descriptive	deterministic SHA-256 rank prefix	6	8
0.14329609141999428	current-baseline[delta=0.2]	0.0962787999791086	12	descriptive	deterministic SHA-256 rank prefix	6	12
0.19879812577855957	current-baseline[delta=0.2]	0.3873241329094691	24	descriptive	deterministic SHA-256 rank prefix	6	24
0.06214946543536882	primal-hull-uniform-disk[points=n+4,origin=interior]	NA	4	small-sample	deterministic SHA-256 rank prefix	6	4
0.07441416159497319	primal-hull-uniform-disk[points=n+4,origin=interior]	0.1973419412972878	8	descriptive	deterministic SHA-256 rank prefix	6	8
0.07510187181988597	primal-hull-uniform-disk[points=n+4,origin=interior]	0.009241657907212557	12	descriptive	deterministic SHA-256 rank prefix	6	12
0.0742011336436013	primal-hull-uniform-disk[points=n+4,origin=interior]	0.011993551618059168	24	descriptive	deterministic SHA-256 rank prefix	6	24
0.017001982944105296	regular-mutation[steps=4,scale=0.03]	NA	4	small-sample	deterministic SHA-256 rank prefix	6	4
0.015743109597151802	regular-mutation[steps=4,scale=0.03]	0.07404273672618607	8	descriptive	deterministic SHA-256 rank prefix	6	8
0.01699465288312438	regular-mutation[steps=4,scale=0.03]	0.07949784496190038	12	descriptive	deterministic SHA-256 rank prefix	6	12
0.015873315685658362	regular-mutation[steps=4,scale=0.03]	0.0659817652750944	24	descriptive	deterministic SHA-256 rank prefix	6	24
0.03201552145686395	repulsive-gap[alpha=16]	NA	4	small-sample	deterministic SHA-256 rank prefix	6	4
0.03467783130664696	repulsive-gap[alpha=16]	0.0831568479485823	8	descriptive	deterministic SHA-256 rank prefix	6	8
0.03378149460005504	repulsive-gap[alpha=16]	0.025847542156423924	12	descriptive	deterministic SHA-256 rank prefix	6	12
0.03285288979314687	repulsive-gap[alpha=16]	0.027488564905196904	24	descriptive	deterministic SHA-256 rank prefix	6	24
0.22419763916989466	repulsive-gap[alpha=1]	NA	4	small-sample	deterministic SHA-256 rank prefix	6	4
1.2280835492774724	repulsive-gap[alpha=1]	4.4776827883849535	8	descriptive	deterministic SHA-256 rank prefix	6	8
0.9227034504546543	repulsive-gap[alpha=1]	0.24866394391691404	12	descriptive	deterministic SHA-256 rank prefix	6	12
0.6084467405422634	repulsive-gap[alpha=1]	0.3405825671915972	24	descriptive	deterministic SHA-256 rank prefix	6	24
0.11762859993999279	repulsive-gap[alpha=4]	NA	4	small-sample	deterministic SHA-256 rank prefix	6	4
0.09106027511491285	repulsive-gap[alpha=4]	0.22586619953509213	8	descriptive	deterministic SHA-256 rank prefix	6	8
0.08244209594991653	repulsive-gap[alpha=4]	0.09464257772251047	12	descriptive	deterministic SHA-256 rank prefix	6	12
0.07318787922364818	repulsive-gap[alpha=4]	0.11225110933485087	24	descriptive	deterministic SHA-256 rank prefix	6	24
0.0013932289164532762	repulsive-gap[regular]	NA	4	small-sample	deterministic SHA-256 rank prefix	6	4
0.0015794030082760223	repulsive-gap[regular]	0.13362778336289988	8	descriptive	deterministic SHA-256 rank prefix	6	8
0.0015437192106907357	repulsive-gap[regular]	0.022593218702449326	12	descriptive	deterministic SHA-256 rank prefix	6	12
0.0015298481793451987	repulsive-gap[regular]	0.008985462673182914	24	descriptive	deterministic SHA-256 rank prefix	6	24
0.17753729553975542	zonogon[lengths=uniform(0.5,1.5)]	NA	4	small-sample	deterministic SHA-256 rank prefix	6	4
0.12269167534250427	zonogon[lengths=uniform(0.5,1.5)]	0.30892449966925245	8	descriptive	deterministic SHA-256 rank prefix	6	8
0.1381478726780473	zonogon[lengths=uniform(0.5,1.5)]	0.12597592536246427	12	descriptive	deterministic SHA-256 rank prefix	6	12
0.1633051490432971	zonogon[lengths=uniform(0.5,1.5)]	0.1821039721970868	24	descriptive	deterministic SHA-256 rank prefix	6	24
