feature	left_q05	left_q95	population_left	population_right	q05_q95_interval_overlap	right_q05	right_q95	side_count
angle_gap_cv	0.2616784580808968	0.6400033631006521	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	0.7150698728601462	0.26309184460831464	0.7887759247728742	4
log_perimeter	1.4304395680409805	2.1331913922170256	current-baseline[delta=0.2]	repulsive-gap[alpha=4]	0.6182121584126972	1.4193176116480597	1.871765018760753	4
covariance_anisotropy	1.495743828073869	83.32745595804997	current-baseline[delta=0.2]	repulsive-gap[alpha=4]	0.2325466300712505	1.3663138516067757	20.55553122171811	4
radial_rms	0.7409115581317033	1.6149048006081508	current-baseline[delta=0.2]	repulsive-gap[alpha=4]	0.6771457440857765	0.7399926184351184	1.3333546187389718	4
angle_gap_cv	0.2616784580808968	0.6400033631006521	current-baseline[delta=0.2]	repulsive-gap[alpha=4]	0.6667006698780787	0.20921976904709866	0.5488821688088872	4
log_perimeter	1.4304395680409805	2.1331913922170256	current-baseline[delta=0.2]	repulsive-gap[regular]	0.0	1.3862943611198906	1.3862943611198906	4
covariance_anisotropy	1.495743828073869	83.32745595804997	current-baseline[delta=0.2]	repulsive-gap[regular]	0.0	1.0	1.000000000000001	4
radial_rms	0.7409115581317033	1.6149048006081508	current-baseline[delta=0.2]	repulsive-gap[regular]	0.0	0.7071067811865476	0.7071067811865477	4
angle_gap_cv	0.2616784580808968	0.6400033631006521	current-baseline[delta=0.2]	repulsive-gap[regular]	0.0	7.507042253784959e-17	5.000895941986525e-16	4
log_perimeter	1.4304395680409805	2.1331913922170256	current-baseline[delta=0.2]	zonogon[lengths=uniform(0.5,1.5)]	0.5175726680760133	1.4051741627115668	2.7629580402652314	4
covariance_anisotropy	1.495743828073869	83.32745595804997	current-baseline[delta=0.2]	zonogon[lengths=uniform(0.5,1.5)]	0.08049120622113305	1.958418254553668	1012.4016740976685	4
radial_rms	0.7409115581317033	1.6149048006081508	current-baseline[delta=0.2]	zonogon[lengths=uniform(0.5,1.5)]	0.4176629903793501	0.7269817811989431	2.8195618340368234	4
angle_gap_cv	0.2616784580808968	0.6400033631006521	current-baseline[delta=0.2]	zonogon[lengths=uniform(0.5,1.5)]	0.44567273838081306	0.10995566931636469	0.9588406749244233	4
log_perimeter	1.3953300941118596	1.4856720637286507	primal-hull-uniform-disk[points=n+4,origin=interior]	regular-mutation[steps=4,scale=0.03]	0.0	1.3866981498765056	1.388654574687121	4
covariance_anisotropy	1.218007278888187	3.8344218505506307	primal-hull-uniform-disk[points=n+4,origin=interior]	regular-mutation[steps=4,scale=0.03]	0.0	1.043180013305982	1.2131483362267557	4
radial_rms	0.7166135064529712	0.8259834298016459	primal-hull-uniform-disk[points=n+4,origin=interior]	regular-mutation[steps=4,scale=0.03]	0.0	0.7074416650822625	0.7094131936153507	4
angle_gap_cv	0.08880158795700899	0.4276612068472411	primal-hull-uniform-disk[points=n+4,origin=interior]	regular-mutation[steps=4,scale=0.03]	0.0	0.025606612856794293	0.0629196900701239	4
log_perimeter	1.3953300941118596	1.4856720637286507	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=16]	0.8495321639216566	1.3884986677214526	1.4778820194974707	4
covariance_anisotropy	1.218007278888187	3.8344218505506307	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=16]	0.6010781928847588	1.0718143214868243	2.8785504201076884	4
