effective_covariance_rank	eigenvalue_1	eigenvalue_2	eigenvalue_3	eigenvalue_4	feature	mean	n	population	q05	q95	side_count	std
1.0000439064078517	512.9656207807847	0.01042061748280365	0.0008386939532972414	1.9103689314958353e-06	log_perimeter	1.6388085509078982	24	repulsive-gap[alpha=16]	1.5263708320573381	2.0529161330156023	3	0.16880827941862625
1.0000439064078517	512.9656207807847	0.01042061748280365	0.0008386939532972414	1.9103689314958353e-06	covariance_anisotropy	10.696009003506218	24	repulsive-gap[alpha=16]	1.5673908056662402	60.31552830030144	3	22.646263681980237
1.0000439064078517	512.9656207807847	0.01042061748280365	0.0008386939532972414	1.9103689314958353e-06	radial_rms	1.0646256907332978	24	repulsive-gap[alpha=16]	0.8894672260265016	1.7965744431868804	3	0.29833242720705094
1.0000439064078517	512.9656207807847	0.01042061748280365	0.0008386939532972414	1.9103689314958353e-06	angle_gap_cv	0.16874801946307091	24	repulsive-gap[alpha=16]	0.061998177992691264	0.3035181650369645	3	0.07826095124120254
1.0000000006227057	12331968535.344181	3.8086131210646537	0.030981454455678886	0.004309706646169424	log_perimeter	2.1710980836039484	24	repulsive-gap[alpha=1]	1.5327711065982914	3.6894408645128833	3	0.733710584802991
1.0000000006227057	12331968535.344181	3.8086131210646537	0.030981454455678886	0.004309706646169424	covariance_anisotropy	26250.884716501994	24	repulsive-gap[alpha=1]	1.767724971456539	64110.69971272171	3	111049.39677209362
1.0000000006227057	12331968535.344181	3.8086131210646537	0.030981454455678886	0.004309706646169424	radial_rms	2.9345661236862575	24	repulsive-gap[alpha=1]	0.897140293650981	10.136940566738568	3	3.896874054648174
1.0000000006227057	12331968535.344181	3.8086131210646537	0.030981454455678886	0.004309706646169424	angle_gap_cv	0.32519924636944547	24	repulsive-gap[alpha=1]	0.08155583502327228	0.5323579892636406	3	0.1350618955630598
1.0000344567199841	1830.575044522467	0.028826905774437268	0.0026993860336588893	1.1471353437992915e-05	log_perimeter	1.7830125857374144	24	repulsive-gap[alpha=4]	1.5283543551451413	2.2201331221697194	3	0.23957624954907109
1.0000344567199841	1830.575044522467	0.028826905774437268	0.0026993860336588893	1.1471353437992915e-05	covariance_anisotropy	28.829675903656625	24	repulsive-gap[alpha=4]	1.6149577595956484	121.78369930917036	3	42.782481399623435
