stratum	n	threshold_quantile	threshold	tail_n	mean_residual_life	median_residual_life	max_excess	enough_exceedances_flag
dataset:random_sample	4096	0.98999999999999999	0.70515620801278245	41	0.042141813833245556	0.031847782803436919	0.15440339779005197	yes
dataset:random_product_sample	10240	0.75	0.5013363661736796	2560	0.10676382543790393	0.094179536191880964	0.36124952967576041	yes
dataset:random_product_sample	10240	0.76000000000000001	0.50738441885166718	2458	0.10502238124923216	0.092353186094227935	0.35520147699777282	yes
dataset:random_product_sample	10240	0.77000000000000002	0.51447800418422063	2355	0.10236882267094677	0.090791581090816198	0.34810789166521938	yes
dataset:random_product_sample	10240	0.78000000000000003	0.52183430006266129	2253	0.099472304136474538	0.087754685399122234	0.34075159578677872	yes
dataset:random_product_sample	10240	0.79000000000000004	0.52803441344773583	2151	0.097841790284443148	0.086223050228678377	0.33455148240170418	yes
dataset:random_product_sample	10240	0.80000000000000004	0.53555423843973049	2048	0.095054637222867666	0.083305098916893305	0.32703165740970952	yes
dataset:random_product_sample	10240	0.81000000000000005	0.54346079339351039	1946	0.091910850491035881	0.07890409826251682	0.31912510245592962	yes
dataset:random_product_sample	10240	0.81999999999999995	0.54993850557044566	1844	0.090354741571146979	0.077697288298514966	0.31264739027899435	yes
dataset:random_product_sample	10240	0.82999999999999996	0.55864886180555939	1741	0.086717101245306405	0.072942469118532749	0.30393703404388062	yes
dataset:random_product_sample	10240	0.83999999999999997	0.56613163029332025	1639	0.084404051523965296	0.071299003393441196	0.29645426555611976	yes
dataset:random_product_sample	10240	0.84999999999999998	0.57381204426018217	1536	0.082122471842949199	0.069721895030386116	0.28877385158925784	yes
dataset:random_product_sample	10240	0.85999999999999999	0.58255258220707618	1434	0.078892283178901776	0.068786056885775604	0.28003331364236383	yes
dataset:random_product_sample	10240	0.87	0.5901201633442883	1332	0.077087391336247493	0.066703942294928209	0.27246573250515171	yes
dataset:random_product_sample	10240	0.88	0.59972783123842832	1229	0.073521648037909421	0.063417880847625452	0.26285806461101169	yes
dataset:random_product_sample	10240	0.89000000000000001	0.60958151247252745	1127	0.069868755247217459	0.059499156890991056	0.25300438337691256	yes
dataset:random_product_sample	10240	0.90000000000000002	0.61876798769465591	1024	0.067254126154648708	0.057505294584785038	0.2438179081547841	yes
dataset:random_product_sample	10240	0.91000000000000003	0.62763545121035369	922	0.065376302051116816	0.054512578704017878	0.23495044463908632	yes
dataset:random_product_sample	10240	0.92000000000000004	0.63742814100502232	820	0.063152746025359086	0.052864881889277737	0.22515775484441769	yes
dataset:random_product_sample	10240	0.93000000000000005	0.65132270340900422	717	0.057398509788692216	0.047342585129309667	0.21126319244043579	yes
dataset:random_product_sample	10240	0.93999999999999995	0.66310372092684189	615	0.054241947539082035	0.046263566814491175	0.19948217492259812	yes
dataset:random_product_sample	10240	0.94999999999999996	0.67614655853018124	512	0.050889785719648806	0.043911575703490358	0.18643933731925877	yes
dataset:random_product_sample	10240	0.95999999999999996	0.69026728771673862	410	0.047776924665167551	0.040828516010834814	0.17231860813270139	yes
dataset:random_product_sample	10240	0.96999999999999997	0.70936372654581992	308	0.041503356481751068	0.033841971855630482	0.15322216930362009	yes
dataset:random_product_sample	10240	0.97999999999999998	0.73103818180200175	205	0.035629669762277105	0.029599851860445892	0.13154771404743826	yes
dataset:random_product_sample	10240	0.98999999999999999	0.76051313149295285	103	0.027975938793865798	0.022434700459714407	0.10207276435648716	yes
product:5x6	1024	0.75	0.59026793910203557	256	0.077952578099546338	0.064844042066434016	0.27231795674740444	yes
product:5x6	1024	0.76000000000000001	0.59765891446429042	246	0.073616558073531416	0.060607468181945567	0.26492698138514958	yes
product:5x6	1024	0.77000000000000002	0.60691046471165855	236	0.0672834365673083	0.053400716933305892	0.25567543113778146	yes
product:5x6	1024	0.78000000000000003	0.60889300953920755	226	0.068240114355089296	0.054777689521892936	0.25369288631023246	yes
product:5x6	1024	0.79000000000000004	0.61256999196853934	215	0.067935558514696667	0.053825339796589877	0.25001590388090067	yes
product:5x6	1024	0.80000000000000004	0.61708626676858225	205	0.066631127955188413	0.052544141103162301	0.24549962908085776	yes
product:5x6	1024	0.81000000000000005	0.62203686458286589	195	0.064975830157965889	0.053692146467726243	0.24054903126657412	yes
product:5x6	1024	0.81999999999999995	0.6279391160562724	185	0.062441476897347872	0.05099367279029321	0.23464677979316761	yes
product:5x6	1024	0.82999999999999996	0.63159493383181797	174	0.062639872925976323	0.053615186946948168	0.23099096201762204	yes
product:5x6	1024	0.83999999999999997	0.63759656644055807	164	0.06022745271794562	0.049442539876388081	0.22498932940888194	yes
product:5x6	1024	0.84999999999999998	0.64074112062329291	154	0.06088578069067762	0.050276281123348865	0.2218447752261471	yes
product:5x6	1024	0.85999999999999999	0.6466510960489863	144	0.058982530685650354	0.04824940098235353	0.21593479980045371	yes
product:5x6	1024	0.87	0.65248673229096277	133	0.057721556249939764	0.044855742753741712	0.21009916355847724	yes
product:5x6	1024	0.88	0.6582079026624833	123	0.056474183699503806	0.045980471509815768	0.20437799318695671	yes
product:5x6	1024	0.89000000000000001	0.66365791675797337	113	0.055807184401695756	0.046125033013734162	0.19892797909146664	yes
product:5x6	1024	0.90000000000000002	0.66943363963699265	103	0.0552090448524594	0.045173550816664743	0.19315225621244736	yes
product:5x6	1024	0.91000000000000003	0.6789208878244769	93	0.051033280090632342	0.041498983669057798	0.18366500802496311	yes
product:5x6	1024	0.92000000000000004	0.68693623726029518	82	0.049153990377787747	0.038107398707553697	0.17564965858914483	yes
product:5x6	1024	0.93000000000000005	0.69479534269794296	72	0.047516413893894459	0.034564647579422625	0.16779055315149705	yes
product:5x6	1024	0.93999999999999995	0.70403329777179235	62	0.045296414190172739	0.031049811450033771	0.15855259807764766	yes
product:5x6	1024	0.94999999999999996	0.71457156851790737	52	0.042380140092224045	0.036113730261681742	0.14801432733153264	yes
product:5x6	1024	0.95999999999999996	0.72427477795477702	41	0.042588431856471973	0.041823837567014244	0.13831111789466299	yes
product:5x6	1024	0.96999999999999997	0.73424825652015435	31	0.044665748894741092	0.038274143605769417	0.12833763932928566	yes
product:5x6	1024	0.97999999999999998	0.76124355973481905	21	0.031953167384581593	0.032228149855420218	0.10134233611462096	yes
product:5x6	1024	0.98999999999999999	0.7926715918074011	11	0.016421429877421113	0.005663392491180419	0.069914304042038911	no
generic:F10	512	0.75	0.49744946973751858	128	0.093912707467946679	0.081446035197822508	0.36211013606531584	yes
generic:F10	512	0.76000000000000001	0.50158505051260149	123	0.093503383033610499	0.077941047399604058	0.35797455529023292	yes
generic:F10	512	0.77000000000000002	0.50847367123845744	118	0.090414994092022596	0.074151740449399706	0.35108593456437698	yes
generic:F10	512	0.78000000000000003	0.51370713116890976	113	0.089095646289052491	0.070095599087601879	0.34585247463392466	yes
generic:F10	512	0.79000000000000004	0.52145628274692024	108	0.085314462605060357	0.067711244736125664	0.33810332305591417	yes
generic:F10	512	0.80000000000000004	0.52946461191300909	103	0.081365956678634388	0.065477807632742691	0.33009499388982533	yes
