stratum	n	model	fit_threshold_quantile	fit_threshold	test_threshold_quantile	test_threshold	observed_exceedances	observed_rate	fit_status	fit_tail_n	status	predicted_probability	predicted_expected_count	predicted_over_observed_count	observed_rate_wilson_95_lower	observed_rate_wilson_95_upper	predicted_inside_wilson_interval	binomial_log_score	shape	scale	endpoint
generic:F10	512	exponential_excess	0.75	0.49744946973751858	0.94999999999999996	0.64034461527997388	26	0.05078125	ok	128	ok	0.054591969569585931	27.951088419627997	1.0750418622933844	0.034887181067572139	0.073365961183455342	yes	-102.88797248978793	0	0.093912707467946679	infinite
generic:F10	512	exponential_excess	0.75	0.49744946973751858	0.98999999999999999	0.74520452176937146	6	0.01171875	ok	128	ok	0.017873496629497596	9.1512302743027689	1.5252050457171282	0.0053815716968398097	0.025328365532537866	yes	-33.272407109515143	0	0.093912707467946679	infinite
generic:F10	512	gpd_excess	0.75	0.49744946973751858	0.90000000000000002	0.59480215016891524	52	0.1015625	ok	128	ok	0.098798834758167656	50.58500339618184	0.97278852684965078	0.078293756105143525	0.13076555267402867	yes	-168.21512996909598	-0.28141495624060908	0.11915755580865045	0.92087243701851496
generic:F10	512	gpd_excess	0.75	0.49744946973751858	0.94999999999999996	0.64034461527997388	26	0.05078125	ok	128	ok	0.057887494377044497	29.638397121046783	1.1399383508094916	0.034887181067572139	0.073365961183455342	yes	-103.06106281692648	-0.28141495624060908	0.11915755580865045	0.92087243701851496
generic:F10	512	gpd_excess	0.75	0.49744946973751858	0.98999999999999999	0.74520452176937146	6	0.01171875	ok	128	ok	0.010970405360122519	5.6168475443827299	0.93614125739712162	0.0053815716968398097	0.025328365532537866	yes	-32.657022468831684	-0.28141495624060908	0.11915755580865045	0.92087243701851496
generic:F10	512	exponential_excess	0.80000000000000004	0.52946461191300909	0.90000000000000002	0.59480215016891524	52	0.1015625	ok	103	ok	0.090120831831932008	46.141865897949188	0.88734357496056127	0.078293756105143525	0.13076555267402867	yes	-168.58740096533461	0	0.081365956678634388	infinite
generic:F10	512	exponential_excess	0.80000000000000004	0.52946461191300909	0.94999999999999996	0.64034461527997388	26	0.05078125	ok	103	ok	0.051492054450066972	26.36393187843429	1.0139973799397803	0.034887181067572139	0.073365961183455342	yes	-102.81696667099186	0	0.081365956678634388	infinite
generic:F10	512	exponential_excess	0.80000000000000004	0.52946461191300909	0.98999999999999999	0.74520452176937146	6	0.01171875	ok	103	ok	0.014192069062171096	7.2663393598316013	1.2110565599719336	0.0053815716968398097	0.025328365532537866	yes	-32.763064142218106	0	0.081365956678634388	infinite
generic:F10	512	gpd_excess	0.80000000000000004	0.52946461191300909	0.90000000000000002	0.59480215016891524	52	0.1015625	ok	103	ok	0.098943228038140665	50.658932755528021	0.97421024529861577	0.078293756105143525	0.13076555267402867	yes	-168.21289663940968	-0.23427647829183085	0.099940323297678213	0.95605597962678224
generic:F10	512	gpd_excess	0.80000000000000004	0.52946461191300909	0.94999999999999996	0.64034461527997388	26	0.05078125	ok	103	ok	0.0556655058146453	28.500738977098393	1.0961822683499383	0.034887181067572139	0.073365961183455342	yes	-102.93383136575846	-0.23427647829183085	0.099940323297678213	0.95605597962678224
generic:F10	512	gpd_excess	0.80000000000000004	0.52946461191300909	0.98999999999999999	0.74520452176937146	6	0.01171875	ok	103	ok	0.0099372650580394038	5.0878797097161748	0.84797995161936246	0.0053815716968398097	0.025328365532537866	yes	-32.722187079317123	-0.23427647829183085	0.099940323297678213	0.95605597962678224
generic:F10	512	exponential_excess	0.84999999999999998	0.56445422073462193	0.90000000000000002	0.59480215016891524	52	0.1015625	ok	77	ok	0.09583868946159646	49.069409004337388	0.94364248085264202	0.078293756105143525	0.13076555267402867	yes	-168.2884656627931	0	0.067354584892407685	infinite
generic:F10	512	exponential_excess	0.84999999999999998	0.56445422073462193	0.94999999999999996	0.64034461527997388	26	0.05078125	ok	77	ok	0.048740320481402914	24.955044086478292	0.95980938794147275	0.034887181067572139	0.073365961183455342	yes	-102.83700746256419	0	0.067354584892407685	infinite
generic:F10	512	exponential_excess	0.84999999999999998	0.56445422073462193	0.98999999999999999	0.74520452176937146	6	0.01171875	ok	77	ok	0.01027457752967087	5.2605836951914853	0.87676394919858092	0.0053815716968398097	0.025328365532537866	yes	-32.694324848091071	0	0.067354584892407685	infinite
generic:F10	512	gpd_excess	0.84999999999999998	0.56445422073462193	0.90000000000000002	0.59480215016891524	52	0.1015625	ok	77	ok	0.099943500051978135	51.171072026612805	0.98405907743486165	0.078293756105143525	0.13076555267402867	yes	-168.20077346941474	-0.13129296858156975	0.076277359625477104	1.1454248580013653
generic:F10	512	gpd_excess	0.84999999999999998	0.56445422073462193	0.94999999999999996	0.64034461527997388	26	0.05078125	ok	77	ok	0.051782316521402222	26.512546058957938	1.0197133099599207	0.034887181067572139	0.073365961183455342	yes	-102.81956383903422	-0.13129296858156975	0.076277359625477104	1.1454248580013653
