stratum	n	model	threshold_quantile	threshold	tail_n	status	shape	scale	endpoint	p_sys_gt_1	predictive_at_least_one_10000	predictive_at_least_one_100000	predictive_at_least_one_1000000	bootstrap_success_count	bootstrap_p_q05	bootstrap_p_median	bootstrap_p_q95	bootstrap_endpoint_below_one_fraction	model_dominated_flag	unstable_flag	max_sys	q99_sys	error
generic:F10	512	gpd_excess	0.90000000000000002	0.59480215016891524	52	ok	-0.12123912348875943	0.0708231815137806	1.1789632647974528	5.8760462842672752e-06	0.057067553283857542	0.44434426315029441	0.99719419150575106	160	0	1.6422405196054288e-14	0.00024116425523124094	0.5	yes	yes	0.85955960580283441	0.74520452176937146	NA
generic:F10	512	exponential_excess	0.94999999999999996	0.64034461527997388	26	ok	0	0.06064059331873909	infinite	0.00013487494405474028	0.74045895127624517	0.99999861305080928	1	160	1.5717669822396322e-05	0.00010966263542079878	0.00046678048968652817	0	yes	no	0.85955960580283441	0.74520452176937146	NA
generic:F10	512	gpd_excess	0.94999999999999996	0.64034461527997388	26	ok	-0.1947567949172283	0.072648075400185752	1.0133640800491555	1.9148048708527492e-09	1.914786540414495e-05	0.00019146215605013873	0.0019129728033740721	160	0	0	0.00039942017654940253	0.52500000000000002	yes	yes	0.85955960580283441	0.74520452176937146	NA
product:6x6	1024	exponential_excess	0.80000000000000004	0.65254324355368143	205	ok	0	0.064202763429606	infinite	0.00089353246645232961	0.99986886969643751	1	1	160	0.00051669641129654671	0.00085819059225225461	0.0013510924352668188	0	yes	no	0.85361188817024714	0.79536548536085683	NA
product:6x6	1024	gpd_excess	0.80000000000000004	0.65254324355368143	205	ok	-0.42827615585899903	0.090481976140579679	0.86381341328586925	0	0	0	0	160	0	0	0	1	yes	yes	0.85361188817024714	0.79536548536085683	NA
product:6x6	1024	exponential_excess	0.90000000000000002	0.70825810549620261	103	ok	0	0.045136689090421733	infinite	0.00015684337563095629	0.79165434348569486	0.99999984588514235	1	160	6.4329864155694729e-05	0.00015728601589378721	0.0003213409722427275	0	yes	no	0.85361188817024714	0.79536548536085683	NA
product:6x6	1024	gpd_excess	0.90000000000000002	0.70825810549620261	103	ok	-0.3846804459486407	0.061805248721980198	0.86892457391927369	0	0	0	0	160	0	0	0	1	yes	yes	0.85361188817024714	0.79536548536085683	NA
product:6x6	1024	exponential_excess	0.94999999999999996	0.7498293014095222	52	ok	0	0.028342277371201131	infinite	7.4522408008021133e-06	0.071813582728130973	0.52537338459135896	0.99941987593312076	160	1.2501038640338211e-06	1.0165849639555236e-05	4.7956714297862469e-05	0	yes	no	0.85361188817024714	0.79536548536085683	NA
product:6x6	1024	gpd_excess	0.94999999999999996	0.7498293014095222	52	ok	-0.20595160836264548	0.034282881847138888	0.91629016141296826	0	0	0	0	160	0	0	1.083628256232366e-06	0.88124999999999998	yes	yes	0.85361188817024714	0.79536548536085683	NA
product:5x5	1024	exponential_excess	0.80000000000000004	0.5811818852044216	205	ok	0	0.083083657273680195	infinite	0.0012948215790106929	0.99999763942623543	1	1	160	0.00081077009175440295	0.0013725229119954177	0.0019303413928398849	0	yes	no	0.8437955079134134	0.77953198148677294	NA
product:5x5	1024	gpd_excess	0.80000000000000004	0.5811818852044216	205	ok	-0.41924232029534991	0.11796545465648145	0.86255962057564206	0	0	0	0	160	0	0	0	1	yes	yes	0.8437955079134134	0.77953198148677294	NA
product:5x5	1024	exponential_excess	0.90000000000000002	0.64874497300963563	103	ok	0	0.065770896967454057	infinite	0.00048211531606180545	0.99195187158954234	1	1	160	0.00022429188250161191	0.0004267045167678082	0.00083575090995022922	0	yes	no	0.8437955079134134	0.77953198148677294	NA
product:5x5	1024	gpd_excess	0.90000000000000002	0.64874497300963563	103	ok	-0.45294711546052618	0.094784990573580918	0.85800779274789563	0	0	0	0	160	0	0	0	1	yes	yes	0.8437955079134134	0.77953198148677294	NA
product:5x5	1024	exponential_excess	0.94999999999999996	0.70765068818265142	52	ok	0	0.043730375860863251	infinite	6.3434875539582705e-05	0.46972995120072253	0.99824219386492519	1	160	1.6361083189054408e-05	7.8330012937802621e-05	0.00020449257451997098	0	yes	no	0.8437955079134134	0.77953198148677294	NA
product:5x5	1024	gpd_excess	0.94999999999999996	0.70765068818265142	52	ok	-0.37383665202498145	0.060256911145286647	0.86883582297050532	0	0	0	0	160	0	0	0	0.98124999999999996	yes	yes	0.8437955079134134	0.77953198148677294	NA
product:4x5	1024	exponential_excess	0.80000000000000004	0.5418382639975764	205	ok	0	0.092232165511607817	infinite	0.0013934883622931345	0.9999991211061432	1	1	160	0.00090296901607716531	0.0014206856951287971	0.002076243026901937	0	yes	no	0.83812448892957969	0.73985937525205947	NA
