stratum	n	model	posterior_mean_p_sys_gt_1	run_size	posterior_predictive_at_least_one
generic:F8	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	10000	0.18373932853218489
generic:F8	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	100000	0.34341537835725922
generic:F8	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	1000000	0.47775215436195806
generic:F8	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	10000	0.0066628599085398754
generic:F8	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	100000	0.023251902257713675
generic:F8	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	1000000	0.044630800266474147
generic:F9	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	10000	0.77925383415900307
generic:F9	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	100000	0.92861096491674688
generic:F9	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	1000000	0.97737285268582597
generic:F9	512	uniform_beta_1_1	0.0019455252918287938	10000	0.95120327213941691
generic:F9	512	uniform_beta_1_1	0.0019455252918287938	100000	0.99489618258279999
generic:F9	512	uniform_beta_1_1	0.0019455252918287938	1000000	0.99948726303516955
generic:F9	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	10000	0.18373932853218489
generic:F9	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	100000	0.34341537835725922
generic:F9	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	1000000	0.47775215436195806
generic:F9	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	10000	0.0066628599085398754
generic:F9	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	100000	0.023251902257713675
generic:F9	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	1000000	0.044630800266474147
pooled:all	14336	jeffreys_beta_0.5_0.5	3.4874799469903051e-05	10000	0.23247778611804459
pooled:all	14336	jeffreys_beta_0.5_0.5	3.4874799469903051e-05	100000	0.64590009449785324
pooled:all	14336	jeffreys_beta_0.5_0.5	3.4874799469903051e-05	1000000	0.88111506910266524
pooled:all	14336	uniform_beta_1_1	6.9744734272562419e-05	10000	0.41089698813728126
pooled:all	14336	uniform_beta_1_1	6.9744734272562419e-05	100000	0.87460751987981444
pooled:all	14336	uniform_beta_1_1	6.9744734272562419e-05	1000000	0.98586564424205914
pooled:all	14336	pessimistic_beta_0.1_1000	6.5205625941406231e-06	10000	0.048964120082420348
pooled:all	14336	pessimistic_beta_0.1_1000	6.5205625941406231e-06	100000	0.1827148335870753
pooled:all	14336	pessimistic_beta_0.1_1000	6.5205625941406231e-06	1000000	0.34247998638056254
pooled:all	14336	skeptical_beta_0.01_10000	4.1091370360219278e-07	10000	0.0034365171953629758
