stratum	n	rank_desc	sys	gap_from_one	gap_to_next_lower	gap_to_record	empirical_tail_mass_at_or_above_rank
dataset:random_sample	4096	25	0.73217274502633212	0.26782725497366788	0.00074643210975144925	0.1273868607765023	0.006103515625
dataset:random_sample	4096	26	0.73142631291658067	0.26857368708341933	0.0057676400061078548	0.12813329288625375	0.00634765625
dataset:random_sample	4096	27	0.72565867291047281	0.27434132708952719	0.0055248762533770535	0.1339009328923616	0.006591796875
dataset:random_sample	4096	28	0.72013379665709576	0.27986620334290424	0.00040216766393341707	0.13942580914573866	0.0068359375
dataset:random_sample	4096	29	0.71973162899316234	0.28026837100683766	0.00095421320414301736	0.13982797680967207	0.007080078125
dataset:random_sample	4096	30	0.71877741578901932	0.28122258421098068	0.0010235109104571594	0.14078219001381509	0.00732421875
dataset:random_product_sample	10240	1	0.86258589584944001	0.13741410415055999	0.0089740076791928747	0	9.7656250000000005e-05
dataset:random_product_sample	10240	2	0.85361188817024714	0.14638811182975286	0.0077081210339619011	0.0089740076791928747	0.00019531250000000001
dataset:random_product_sample	10240	3	0.84590376713628523	0.15409623286371477	0.00085672110009815672	0.016682128713154776	0.00029296874999999999
dataset:random_product_sample	10240	4	0.84504704603618708	0.15495295396381292	0.0012515381227736766	0.017538849813252932	0.00039062500000000002
dataset:random_product_sample	10240	5	0.8437955079134134	0.1562044920865866	0.0052626925272076797	0.018790387936026609	0.00048828125
dataset:random_product_sample	10240	6	0.83853281538620572	0.16146718461379428	0.00040832645662602918	0.024053080463234289	0.00058593749999999998
dataset:random_product_sample	10240	7	0.83812448892957969	0.16187551107042031	0.0071717121432710584	0.024461406919860318	0.00068359374999999996
dataset:random_product_sample	10240	8	0.83095277678630863	0.16904722321369137	0.0016862215881354725	0.031633119063131376	0.00078125000000000004
dataset:random_product_sample	10240	9	0.82926655519817316	0.17073344480182684	0.0092102622249395916	0.033319340651266849	0.00087890625000000002
dataset:random_product_sample	10240	10	0.82005629297323357	0.17994370702676643	0.002509021970866443	0.04252960287620644	0.0009765625
dataset:random_product_sample	10240	11	0.81754727100236713	0.18245272899763287	0.001750392515698862	0.045038624847072883	0.0010742187500000001
dataset:random_product_sample	10240	12	0.81579687848666826	0.18420312151333174	0.0016966451837153729	0.046789017362771745	0.001171875
dataset:random_product_sample	10240	13	0.81410023330295289	0.18589976669704711	0.0023176059338391175	0.048485662546487118	0.00126953125
dataset:random_product_sample	10240	14	0.81178262736911377	0.18821737263088623	0.0042654925125844567	0.050803268480326236	0.0013671874999999999
dataset:random_product_sample	10240	15	0.80751713485652932	0.19248286514347068	0.00016839812415170297	0.055068760992910692	0.00146484375
dataset:random_product_sample	10240	16	0.80734873673237761	0.19265126326762239	0.0024037825429525927	0.055237159117062395	0.0015625000000000001
dataset:random_product_sample	10240	17	0.80494495418942502	0.19505504581057498	0.00046864197614460146	0.057640941660014988	0.00166015625
dataset:random_product_sample	10240	18	0.80447631221328042	0.19552368778671958	0.00056368608268042575	0.05810958363615959	0.0017578125
dataset:random_product_sample	10240	19	0.80391262613059999	0.19608737386940001	0.00081872881263544972	0.058673269718840015	0.0018554687499999999
dataset:random_product_sample	10240	20	0.80309389731796454	0.19690610268203546	0.00016832559730683982	0.059491998531475465	0.001953125
dataset:random_product_sample	10240	21	0.8029255717206577	0.1970744282793423	0.0010471354012094869	0.059660324128782305	0.0020507812500000001
dataset:random_product_sample	10240	22	0.80187843631944822	0.19812156368055178	0.0015045148152497134	0.060707459529991792	0.0021484375000000002
dataset:random_product_sample	10240	23	0.8003739215041985	0.1996260784958015	6.1167911851622847e-05	0.062211974345241505	0.0022460937499999998
dataset:random_product_sample	10240	24	0.80031275359234688	0.19968724640765312	0.0008533506921960532	0.062273142257093128	0.0023437499999999999
dataset:random_product_sample	10240	25	0.79945940290015083	0.20054059709984917	0.00020725426282686144	0.063126492949289181	0.00244140625
dataset:random_product_sample	10240	26	0.79925214863732397	0.20074785136267603	0.00042946153266987253	0.063333747212116043	0.0025390625000000001
dataset:random_product_sample	10240	27	0.79882268710465409	0.20117731289534591	0.00048770280607257632	0.063763208744785915	0.0026367187500000002
dataset:random_product_sample	10240	28	0.79833498429858152	0.20166501570141848	0.00093694425689694327	0.064250911550858492	0.0027343749999999998
dataset:random_product_sample	10240	29	0.79739804004168457	0.20260195995831543	0.00036161635572362627	0.065187855807755435	0.0028320312499999999
dataset:random_product_sample	10240	30	0.79703642368596095	0.20296357631403905	0.00016818440145494051	0.065549472163479061	0.0029296875
product:5x6	1024	1	0.86258589584944001	0.13741410415055999	0.016682128713154776	0	0.0009765625
product:5x6	1024	2	0.84590376713628523	0.15409623286371477	0.028356496133918108	0.016682128713154776	0.001953125
product:5x6	1024	3	0.81754727100236713	0.18245272899763287	0.014621699281709422	0.045038624847072883	0.0029296875
product:5x6	1024	4	0.8029255717206577	0.1970744282793423	0.0025516502164592003	0.059660324128782305	0.00390625
product:5x6	1024	5	0.8003739215041985	0.1996260784958015	0.0020389372056169863	0.062211974345241505	0.0048828125
product:5x6	1024	6	0.79833498429858152	0.20166501570141848	0.0029629276178214647	0.064250911550858492	0.005859375
product:5x6	1024	7	0.79537205668076005	0.20462794331923995	0.00011924853687517167	0.067213839168679956	0.0068359375
product:5x6	1024	8	0.79525280814388488	0.20474719185611512	0.00059133469905447988	0.067333087705555128	0.0078125
product:5x6	1024	9	0.7946614734448304	0.2053385265551696	0.0010676942830307734	0.067924422404609608	0.0087890625
product:5x6	1024	10	0.79359377916179963	0.20640622083820037	0.00012206957156035703	0.068992116687640381	0.009765625
product:5x6	1024	11	0.79347170959023927	0.20652829040976073	0.0034787729688612323	0.069114186259200738	0.0107421875
product:5x6	1024	12	0.78999293662137804	0.21000706337862196	8.377715578500311e-05	0.072592959228061971	0.01171875
product:5x6	1024	13	0.78990915946559304	0.21009084053440696	0.0082799907482175028	0.072676736383846974	0.0126953125
product:5x6	1024	14	0.78162916871737553	0.21837083128262447	0.00017433307076908378	0.080956727132064477	0.013671875
product:5x6	1024	15	0.78145483564660645	0.21854516435339355	0.00893243552068268	0.08113106020283356	0.0146484375
product:5x6	1024	16	0.77252240012592377	0.22747759987407623	0.0020813293386634513	0.09006349572351624	0.015625
product:5x6	1024	17	0.77044107078726032	0.22955892921273968	0.0010736880574492291	0.092144825062179692	0.0166015625
product:5x6	1024	18	0.76936738272981109	0.23063261727018891	0.00076019633444346368	0.093218513119628921	0.017578125
product:5x6	1024	19	0.76860718639536763	0.23139281360463237	0.0015219114321055605	0.093978709454072384	0.0185546875
product:5x6	1024	20	0.76708527496326206	0.23291472503673794	0.0009866594414708052	0.095500620886177945	0.01953125
product:5x6	1024	21	0.76609861552179126	0.23390138447820874	0.010554469102112773	0.09648728032764875	0.0205078125
product:5x6	1024	22	0.75554414641967849	0.24445585358032151	1.8369976601761984e-05	0.10704174942976152	0.021484375
product:5x6	1024	23	0.75552577644307672	0.24447422355692328	0.00038653493894869051	0.10706011940636329	0.0224609375
product:5x6	1024	24	0.75513924150412803	0.24486075849587197	0.00038023106835138876	0.10744665434531198	0.0234375
product:5x6	1024	25	0.75475901043577664	0.24524098956422336	0.0029107367738889778	0.10782688541366336	0.0244140625
product:5x6	1024	26	0.75184827366188767	0.24815172633811233	0.0023259497645971017	0.11073762218755234	0.025390625
product:5x6	1024	27	0.74952232389729057	0.25047767610270943	0.0037061643028214464	0.11306357195214944	0.0263671875
product:5x6	1024	28	0.74581615959446912	0.25418384040553088	0.0023533509752533543	0.11676973625497089	0.02734375
product:5x6	1024	29	0.74346280861921576	0.25653719138078424	0.0031577408560926612	0.11912308723022424	0.0283203125
product:5x6	1024	30	0.7403050677631231	0.2596949322368769	0.0030249777474243844	0.12228082808631691	0.029296875
generic:F10	512	1	0.85955960580283441	0.14044039419716559	0.077076059517520612	0	0.001953125
generic:F10	512	2	0.7824835462853138	0.2175164537146862	0.0068563587460268582	0.077076059517520612	0.00390625
generic:F10	512	3	0.77562718753928694	0.22437281246071306	0.009621686853979794	0.08393241826354747	0.005859375
generic:F10	512	4	0.76600550068530715	0.23399449931469285	0.0096726936300165489	0.093554105117527264	0.0078125
generic:F10	512	5	0.7563328070552906	0.2436671929447094	0.010361313524424931	0.10322679874754381	0.009765625
generic:F10	512	6	0.74597149353086567	0.25402850646913433	0.0069724705590370473	0.11358811227196874	0.01171875
generic:F10	512	7	0.73899902297182862	0.26100097702817138	0.018865226314732864	0.12056058283100579	0.013671875
generic:F10	512	8	0.72013379665709576	0.27986620334290424	0.00040216766393341707	0.13942580914573866	0.015625
generic:F10	512	9	0.71973162899316234	0.28026837100683766	0.021168357689099859	0.13982797680967207	0.017578125
generic:F10	512	10	0.69856327130406248	0.30143672869593752	0.0053719290615598103	0.16099633449877193	0.01953125
generic:F10	512	11	0.69319134224250267	0.30680865775749733	0.00061359010400774405	0.16636826356033174	0.021484375
generic:F10	512	12	0.69257775213849493	0.30742224786150507	0.0010128186146909357	0.16698185366433949	0.0234375
generic:F10	512	13	0.69156493352380399	0.30843506647619601	0.0030618583079236039	0.16799467227903042	0.025390625
generic:F10	512	14	0.68850307521588039	0.31149692478411961	0.017239005676770391	0.17105653058695403	0.02734375
generic:F10	512	15	0.67126406953911	0.32873593046089	0.0064679825245456124	0.18829553626372442	0.029296875
generic:F10	512	16	0.66479608701456439	0.33520391298543561	0.00061055865578585333	0.19476351878827003	0.03125
generic:F10	512	17	0.66418552835877853	0.33581447164122147	0.0034351295618580968	0.19537407744405588	0.033203125
generic:F10	512	18	0.66075039879692044	0.33924960120307956	8.3026996624990801e-05	0.19880920700591398	0.03515625
generic:F10	512	19	0.66066737180029544	0.33933262819970456	0.002346646054346424	0.19889223400253897	0.037109375
generic:F10	512	20	0.65832072574594902	0.34167927425405098	0.00058590439733807731	0.20123888005688539	0.0390625
generic:F10	512	21	0.65773482134861094	0.34226517865138906	0.0005012354505888883	0.20182478445422347	0.041015625
generic:F10	512	22	0.65723358589802205	0.34276641410197795	0.0011792999006010607	0.20232601990481236	0.04296875
generic:F10	512	23	0.65605428599742099	0.34394571400257901	0.0050619795265542944	0.20350531980541342	0.044921875
generic:F10	512	24	0.6509923064708667	0.3490076935291333	0.0012255093379044402	0.20856729933196771	0.046875
generic:F10	512	25	0.64976679713296226	0.35023320286703774	0.0051623156156556105	0.20979280866987216	0.048828125
generic:F10	512	26	0.64460448151730665	0.35539551848269335	0.0077452113406047962	0.21495512428552777	0.05078125
generic:F10	512	27	0.63685927017670185	0.36314072982329815	0.0026576513442422289	0.22270033562613256	0.052734375
generic:F10	512	28	0.63420161883245962	0.36579838116754038	0.00030044449227151215	0.22535798697037479	0.0546875
generic:F10	512	29	0.63390117434018811	0.36609882565981189	0.002255682875796472	0.2256584314626463	0.056640625
generic:F10	512	30	0.63164549146439164	0.36835450853560836	0.00076012689369298059	0.22791411433844277	0.05859375
product:6x6	1024	1	0.85361188817024714	0.14638811182975286	0.0085648421340600578	0	0.0009765625
product:6x6	1024	2	0.84504704603618708	0.15495295396381292	0.014094269249878444	0.0085648421340600578	0.001953125
product:6x6	1024	3	0.83095277678630863	0.16904722321369137	0.010896483813075064	0.022659111383938502	0.0029296875
product:6x6	1024	4	0.82005629297323357	0.17994370702676643	0.004259414486565305	0.033555595197013566	0.00390625
product:6x6	1024	5	0.81579687848666826	0.18420312151333174	0.0040142511175544904	0.037815009683578871	0.0048828125
product:6x6	1024	6	0.81178262736911377	0.18821737263088623	0.0042654925125844567	0.041829260801133361	0.005859375
product:6x6	1024	7	0.80751713485652932	0.19248286514347068	0.0044232375385647726	0.046094753313717818	0.0068359375
