stratum	n	model	threshold_quantile	threshold	tail_n	exceedance_fraction	status	shape	scale	endpoint	conditional_survival_sys_gt_1_given_exceedance	p_sys_gt_1	predictive_at_least_one_1m	endpoint_below_1_flag	nearby_ok_fit_count	nearby_log10_p_sys_gt_1_range	nearby_finite_endpoint_range	threshold_probability_stable_flag	threshold_endpoint_stable_flag	threshold_stable_flag	max_sys	error
pooled:all	14336	exponential_excess	0.98999999999999999	0.75210201224531514	144	0.010044642857142858	ok	0	0.03019754746845775	infinite	0.00027213581187185887	2.7335070388914396e-06	0.9350092791173511	no	3	1.1511326672003914	NA	no	yes	no	0.86258589584944001	NA
pooled:all	14336	gpd_excess	0.98999999999999999	0.75210201224531514	144	0.010044642857142858	ok	-0.25731995371640803	0.037971571090491249	0.89966760341722896	0	0	0	yes	3	NA	0.016369126343937501	no	yes	no	0.86258589584944001	NA
dataset:random_sample	4096	exponential_excess	0.75	0.42805392019717281	1024	0.25	ok	0	0.11469189569193577	infinite	0.0068274456906655626	0.0017068614226663907	1	no	3	0.098040575448119061	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.75	0.42805392019717281	1024	0.25	ok	-0.34075586299036531	0.15098868326951181	0.87115321699131465	0	0	0	yes	3	NA	0.0022713219187998623	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.76000000000000001	0.43664425132363288	983	0.239990234375	ok	0	0.11071955800227583	infinite	0.0061695325608243272	0.0014806275652564243	1	no	4	0.11169434575367321	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.76000000000000001	0.43664425132363288	983	0.239990234375	ok	-0.33311518200425483	0.14530583581508319	0.87284723354984439	0	0	0	yes	4	NA	0.0022713219187998623	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.77000000000000002	0.44355050880229552	942	0.22998046875	ok	0	0.10848903898407598	infinite	0.0059219772219263906	0.0013619390974254542	1	no	5	0.15141199581871456	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.77000000000000002	0.44355050880229552	942	0.22998046875	ok	-0.33061551039363546	0.14212302186906561	0.87342453891011451	0	0	0	yes	5	NA	0.0023798305934147335	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.78000000000000003	0.44919857451758827	901	0.219970703125	ok	0	0.10766201292085721	infinite	0.00599983178092885	0.0013197872154826402	1	no	5	0.15062382937291741	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.78000000000000003	0.44919857451758827	901	0.219970703125	ok	-0.33277433907230236	0.14099830419973108	0.87290403387723003	0	0	0	yes	5	NA	0.002317865913356365	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.79000000000000004	0.45652353235113047	860	0.2099609375	ok	0	0.10530644274919519	infinite	0.0057365101160878704	0.0012044430419520431	1	no	5	0.18855587410467001	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.79000000000000004	0.45652353235113047	860	0.2099609375	ok	-0.3300628143055786	0.13763933419020669	0.87353304758472938	0	0	0	yes	5	NA	0.0047784303208497914	no	yes	no	0.85955960580283441	NA
dataset:random_sample	4096	exponential_excess	0.80000000000000004	0.46506425039287708	819	0.199951171875	ok	0	0.10184535765969624	infinite	0.0052347753335886763	0.0010466994624533999	1	no	5	0.20268459663386373	NA	yes	yes	yes	0.85955960580283441	NA
dataset:random_sample	4096	gpd_excess	0.80000000000000004	0.46506425039287708	819	0.199951171875	ok	-0.32350822483001829	0.13267099768402368	0.87516509946320076	0	0	0	yes	5	NA	0.0047784303208497914	no	yes	no	0.85955960580283441	NA
