stratum	n	threshold	exceedances_sys_gt_threshold	empirical_survival	max_sys	q99_sys
generic:F12	512	0.80000000000000004	2	0.00390625	0.82476627462416685	0.74956011359201646
generic:F12	512	0.84999999999999998	0	0	0.82476627462416685	0.74956011359201646
generic:F12	512	0.86250000000000004	0	0	0.82476627462416685	0.74956011359201646
generic:F12	512	0.90000000000000002	0	0	0.82476627462416685	0.74956011359201646
generic:F12	512	0.94999999999999996	0	0	0.82476627462416685	0.74956011359201646
generic:F12	512	1	0	0	0.82476627462416685	0.74956011359201646
generic:F5	512	0.5	12	0.0234375	0.71441036389872803	0.55280467865360805
generic:F5	512	0.59999999999999998	1	0.001953125	0.71441036389872803	0.55280467865360805
generic:F5	512	0.69999999999999996	1	0.001953125	0.71441036389872803	0.55280467865360805
generic:F5	512	0.75	0	0	0.71441036389872803	0.55280467865360805
generic:F5	512	0.80000000000000004	0	0	0.71441036389872803	0.55280467865360805
generic:F5	512	0.84999999999999998	0	0	0.71441036389872803	0.55280467865360805
generic:F5	512	0.86250000000000004	0	0	0.71441036389872803	0.55280467865360805
generic:F5	512	0.90000000000000002	0	0	0.71441036389872803	0.55280467865360805
generic:F5	512	0.94999999999999996	0	0	0.71441036389872803	0.55280467865360805
generic:F5	512	1	0	0	0.71441036389872803	0.55280467865360805
generic:F6	512	0.5	20	0.0390625	0.69085508873510593	0.6053907199166203
generic:F6	512	0.59999999999999998	6	0.01171875	0.69085508873510593	0.6053907199166203
generic:F6	512	0.69999999999999996	0	0	0.69085508873510593	0.6053907199166203
generic:F6	512	0.75	0	0	0.69085508873510593	0.6053907199166203
generic:F6	512	0.80000000000000004	0	0	0.69085508873510593	0.6053907199166203
generic:F6	512	0.84999999999999998	0	0	0.69085508873510593	0.6053907199166203
generic:F6	512	0.86250000000000004	0	0	0.69085508873510593	0.6053907199166203
generic:F6	512	0.90000000000000002	0	0	0.69085508873510593	0.6053907199166203
generic:F6	512	0.94999999999999996	0	0	0.69085508873510593	0.6053907199166203
generic:F6	512	1	0	0	0.69085508873510593	0.6053907199166203
generic:F7	512	0.5	48	0.09375	0.74585223929034294	0.6732769603218991
generic:F7	512	0.59999999999999998	12	0.0234375	0.74585223929034294	0.6732769603218991
generic:F7	512	0.69999999999999996	3	0.005859375	0.74585223929034294	0.6732769603218991
generic:F7	512	0.75	0	0	0.74585223929034294	0.6732769603218991
generic:F7	512	0.80000000000000004	0	0	0.74585223929034294	0.6732769603218991
generic:F7	512	0.84999999999999998	0	0	0.74585223929034294	0.6732769603218991
generic:F7	512	0.86250000000000004	0	0	0.74585223929034294	0.6732769603218991
generic:F7	512	0.90000000000000002	0	0	0.74585223929034294	0.6732769603218991
generic:F7	512	0.94999999999999996	0	0	0.74585223929034294	0.6732769603218991
generic:F7	512	1	0	0	0.74585223929034294	0.6732769603218991
generic:F8	512	0.5	60	0.1171875	0.74485325091685728	0.68600078552955335
generic:F8	512	0.59999999999999998	17	0.033203125	0.74485325091685728	0.68600078552955335
generic:F8	512	0.69999999999999996	4	0.0078125	0.74485325091685728	0.68600078552955335
generic:F8	512	0.75	0	0	0.74485325091685728	0.68600078552955335
generic:F8	512	0.80000000000000004	0	0	0.74485325091685728	0.68600078552955335
generic:F8	512	0.84999999999999998	0	0	0.74485325091685728	0.68600078552955335
generic:F8	512	0.86250000000000004	0	0	0.74485325091685728	0.68600078552955335
generic:F8	512	0.90000000000000002	0	0	0.74485325091685728	0.68600078552955335
generic:F8	512	0.94999999999999996	0	0	0.74485325091685728	0.68600078552955335
generic:F8	512	1	0	0	0.74485325091685728	0.68600078552955335
generic:F9	512	0.5	61	0.119140625	0.78113533148554726	0.67343862674060839
generic:F9	512	0.59999999999999998	19	0.037109375	0.78113533148554726	0.67343862674060839
generic:F9	512	0.69999999999999996	2	0.00390625	0.78113533148554726	0.67343862674060839
generic:F9	512	0.75	2	0.00390625	0.78113533148554726	0.67343862674060839
generic:F9	512	0.80000000000000004	0	0	0.78113533148554726	0.67343862674060839
generic:F9	512	0.84999999999999998	0	0	0.78113533148554726	0.67343862674060839
generic:F9	512	0.86250000000000004	0	0	0.78113533148554726	0.67343862674060839
generic:F9	512	0.90000000000000002	0	0	0.78113533148554726	0.67343862674060839
generic:F9	512	0.94999999999999996	0	0	0.78113533148554726	0.67343862674060839
generic:F9	512	1	0	0	0.78113533148554726	0.67343862674060839
pooled:all	14336	0.5	3232	0.22544642857142858	0.86258589584944001	0.75210201224531514
pooled:all	14336	0.59999999999999998	1463	0.10205078125	0.86258589584944001	0.75210201224531514
pooled:all	14336	0.69999999999999996	397	0.027692522321428572	0.86258589584944001	0.75210201224531514
pooled:all	14336	0.75	153	0.010672433035714286	0.86258589584944001	0.75210201224531514
pooled:all	14336	0.80000000000000004	27	0.0018833705357142857	0.86258589584944001	0.75210201224531514
pooled:all	14336	0.84999999999999998	3	0.00020926339285714285	0.86258589584944001	0.75210201224531514
pooled:all	14336	0.86250000000000004	1	6.9754464285714282e-05	0.86258589584944001	0.75210201224531514
pooled:all	14336	0.90000000000000002	0	0	0.86258589584944001	0.75210201224531514
pooled:all	14336	0.94999999999999996	0	0	0.86258589584944001	0.75210201224531514
pooled:all	14336	1	0	0	0.86258589584944001	0.75210201224531514
product:3x3	1024	0.5	54	0.052734375	0.64641996749593178	0.582817150221969
product:3x3	1024	0.59999999999999998	7	0.0068359375	0.64641996749593178	0.582817150221969
product:3x3	1024	0.69999999999999996	0	0	0.64641996749593178	0.582817150221969
product:3x3	1024	0.75	0	0	0.64641996749593178	0.582817150221969
product:3x3	1024	0.80000000000000004	0	0	0.64641996749593178	0.582817150221969
product:3x3	1024	0.84999999999999998	0	0	0.64641996749593178	0.582817150221969
product:3x3	1024	0.86250000000000004	0	0	0.64641996749593178	0.582817150221969
product:3x3	1024	0.90000000000000002	0	0	0.64641996749593178	0.582817150221969
product:3x3	1024	0.94999999999999996	0	0	0.64641996749593178	0.582817150221969
product:3x3	1024	1	0	0	0.64641996749593178	0.582817150221969
product:3x4	1024	0.5	91	0.0888671875	0.71190733979578347	0.62334188429809234
product:3x4	1024	0.59999999999999998	19	0.0185546875	0.71190733979578347	0.62334188429809234
product:3x4	1024	0.69999999999999996	2	0.001953125	0.71190733979578347	0.62334188429809234
product:3x4	1024	0.75	0	0	0.71190733979578347	0.62334188429809234
product:3x4	1024	0.80000000000000004	0	0	0.71190733979578347	0.62334188429809234
product:3x4	1024	0.84999999999999998	0	0	0.71190733979578347	0.62334188429809234
product:3x4	1024	0.86250000000000004	0	0	0.71190733979578347	0.62334188429809234
product:3x4	1024	0.90000000000000002	0	0	0.71190733979578347	0.62334188429809234
product:3x4	1024	0.94999999999999996	0	0	0.71190733979578347	0.62334188429809234
product:3x4	1024	1	0	0	0.71190733979578347	0.62334188429809234
product:3x5	1024	0.5	158	0.154296875	0.76507783251672923	0.70967755042026637
product:3x5	1024	0.59999999999999998	47	0.0458984375	0.76507783251672923	0.70967755042026637
product:3x5	1024	0.69999999999999996	12	0.01171875	0.76507783251672923	0.70967755042026637
product:3x5	1024	0.75	3	0.0029296875	0.76507783251672923	0.70967755042026637
product:3x5	1024	0.80000000000000004	0	0	0.76507783251672923	0.70967755042026637
product:3x5	1024	0.84999999999999998	0	0	0.76507783251672923	0.70967755042026637
product:3x5	1024	0.86250000000000004	0	0	0.76507783251672923	0.70967755042026637
product:3x5	1024	0.90000000000000002	0	0	0.76507783251672923	0.70967755042026637
product:3x5	1024	0.94999999999999996	0	0	0.76507783251672923	0.70967755042026637
product:3x5	1024	1	0	0	0.76507783251672923	0.70967755042026637
product:3x6	1024	0.5	185	0.1806640625	0.80734873673237761	0.70994329984363602
product:3x6	1024	0.59999999999999998	63	0.0615234375	0.80734873673237761	0.70994329984363602
product:3x6	1024	0.69999999999999996	12	0.01171875	0.80734873673237761	0.70994329984363602
product:3x6	1024	0.75	6	0.005859375	0.80734873673237761	0.70994329984363602
product:3x6	1024	0.80000000000000004	1	0.0009765625	0.80734873673237761	0.70994329984363602
product:3x6	1024	0.84999999999999998	0	0	0.80734873673237761	0.70994329984363602
product:3x6	1024	0.86250000000000004	0	0	0.80734873673237761	0.70994329984363602
product:3x6	1024	0.90000000000000002	0	0	0.80734873673237761	0.70994329984363602
product:3x6	1024	0.94999999999999996	0	0	0.80734873673237761	0.70994329984363602
product:3x6	1024	1	0	0	0.80734873673237761	0.70994329984363602
product:4x4	1024	0.5	187	0.1826171875	0.81410023330295289	0.7101813936783582
product:4x4	1024	0.59999999999999998	79	0.0771484375	0.81410023330295289	0.7101813936783582
product:4x4	1024	0.69999999999999996	15	0.0146484375	0.81410023330295289	0.7101813936783582
product:4x4	1024	0.75	5	0.0048828125	0.81410023330295289	0.7101813936783582
product:4x4	1024	0.80000000000000004	2	0.001953125	0.81410023330295289	0.7101813936783582
product:4x4	1024	0.84999999999999998	0	0	0.81410023330295289	0.7101813936783582
product:4x4	1024	0.86250000000000004	0	0	0.81410023330295289	0.7101813936783582
product:4x4	1024	0.90000000000000002	0	0	0.81410023330295289	0.7101813936783582
product:4x4	1024	0.94999999999999996	0	0	0.81410023330295289	0.7101813936783582
product:4x4	1024	1	0	0	0.81410023330295289	0.7101813936783582
product:4x5	1024	0.5	276	0.26953125	0.83812448892957969	0.73985937525205947
