source	seed	bucket	q_low	q_high	n	mean_sys	min_sys	max_sys	sys_gt_1
retained-full-target	42	5x6	0.0	0.01	11	0.620012982721087	0.5070245156599887	0.7555441464196785	0
retained-full-target	42	5x6	0.01	0.05	41	0.654004421768805	0.4569233399032621	0.8029255717206577	0
retained-full-target	42	5x6	0.05	0.2	153	0.6359060092903669	0.4086790979830512	0.8459037671362852	0
retained-full-target	42	5x6	0.2	1.0	819	0.39115298300204276	0.0014421949035220163	0.86258589584944	0
retained-full-target	42	6x6	0.0	0.01	11	0.678898233813872	0.5299886555236156	0.7864735477390526	0
retained-full-target	42	6x6	0.01	0.05	41	0.6846093884268163	0.4999606726399662	0.8536118881702471	0
retained-full-target	42	6x6	0.05	0.2	153	0.6573933415832317	0.4319298096533058	0.8450470460361871	0
retained-full-target	42	6x6	0.2	1.0	819	0.43057589246550065	0.002305048917497889	0.8200562929732336	0
retained-full-target	42	all_equal_count_buckets	0.0	0.01	110	0.6368964252269604	0.4772430412626695	0.7899693224084291	0
retained-full-target	42	all_equal_count_buckets	0.01	0.05	410	0.6240788719848288	0.40712696551443234	0.8536118881702471	0
retained-full-target	42	all_equal_count_buckets	0.05	0.2	1530	0.5613326831288917	0.2688744998139417	0.8459037671362852	0
retained-full-target	42	all_equal_count_buckets	0.2	1.0	8190	0.27432022364404884	1.3619216643341758e-05	0.86258589584944	0
frozen-100k-stage1	1618033	3x3	0.0	0.001	10	0.4985916568792545	0.49468967365962224	0.5019098284900438	0
frozen-100k-stage1	1618033	3x3	0.001	0.002	10	0.49833941595628745	0.49269164480812594	0.5026969872569704	0
frozen-100k-stage1	1618033	3x3	0.002	0.005	30	0.4970416210662448	0.48596990019021424	0.5076735544356856	0
frozen-100k-stage1	1618033	3x3	0.005	0.01	50	0.49443183600652846	0.47501022534987325	0.5230646819749621	0
frozen-100k-stage1	1618033	3x4	0.0	0.001	10	0.7340968834064586	0.5440895455325799	0.8450273730212431	0
frozen-100k-stage1	1618033	3x4	0.001	0.002	10	0.6184570525493809	0.5426131408992394	0.726944582243115	0
frozen-100k-stage1	1618033	3x4	0.002	0.005	30	0.6378683167144873	0.5320472153603295	0.7775273693079062	0
frozen-100k-stage1	1618033	3x4	0.005	0.01	50	0.6131238872107317	0.5070000495971209	0.8295007345308335	0
frozen-100k-stage1	1618033	3x5	0.0	0.001	10	0.6859284369384253	0.6247548321849974	0.7620571154978502	0
frozen-100k-stage1	1618033	3x5	0.001	0.002	10	0.7029510738641088	0.6469010814937904	0.7850179745554378	0
frozen-100k-stage1	1618033	3x5	0.002	0.005	30	0.711250794550288	0.5504711906187637	0.9023838838805844	0
frozen-100k-stage1	1618033	3x5	0.005	0.01	50	0.6794232439587523	0.5426274267990479	0.8435346301722197	0
frozen-100k-stage1	1618033	3x6	0.0	0.001	10	0.6839776779127036	0.6218838826100048	0.7739748399896462	0
frozen-100k-stage1	1618033	3x6	0.001	0.002	10	0.7291178878343904	0.5782802406250199	0.8022585256631186	0
frozen-100k-stage1	1618033	3x6	0.002	0.005	30	0.6893557673011317	0.5735884122827216	0.8339962847614361	0
frozen-100k-stage1	1618033	3x6	0.005	0.01	50	0.7037225188785619	0.5570212884532713	0.8030391794613114	0
frozen-100k-stage1	1618033	4x4	0.0	0.001	10	0.6227699311817083	0.49662149544777573	0.7320706873452024	0
frozen-100k-stage1	1618033	4x4	0.001	0.002	10	0.6356647125622535	0.43050344896299325	0.8530387354112793	0
frozen-100k-stage1	1618033	4x4	0.002	0.005	30	0.6446419737660024	0.4733966561380382	0.7775962467352809	0
frozen-100k-stage1	1618033	4x4	0.005	0.01	50	0.6236623395698587	0.427711947115059	0.8204821714816062	0
frozen-100k-stage1	1618033	4x5	0.0	0.001	10	0.6087337253380808	0.4910809920494375	0.78147487383182	0
frozen-100k-stage1	1618033	4x5	0.001	0.002	10	0.6403596314975146	0.4971358883032496	0.7469257442958203	0
frozen-100k-stage1	1618033	4x5	0.002	0.005	30	0.6214143891670261	0.4044234884874157	0.7597360847069227	0
