attempt	budget	holdout_incremental_reduction	holdout_radius_after	holdout_radius_before	policy	population	seed	step	train_incremental_reduction	train_radius_after	train_radius_before	view	witness_id
1	21	0.0	0.5262263518493797	0.5262263518493797	adaptive_max	repulsive-gap[alpha=1]	20260716	21	0.0118445173187674	0.35065900550403795	0.36250352282280535	chord_invariant	witness-9f945b258e6fa8bb6672
2	22	0.0	3.1786085739613	3.1786085739613	adaptive_max	primal-hull-uniform-disk[points=n+4,origin=interior]	20260716	22	0.028626581483562785	0.953714246002317	0.9823408274858798	frame_geometry	witness-e98125a0446d68685b3e
2	22	0.09039046444993865	0.43583588739944107	0.5262263518493797	adaptive_max	primal-hull-uniform-disk[points=n+4,origin=interior]	20260716	22	0.0	0.35065900550403795	0.35065900550403795	chord_invariant	witness-e98125a0446d68685b3e
0	23	0.0	3.1786085739613	3.1786085739613	adaptive_max	repulsive-gap[alpha=1]	20260716	23	0.10215904426053657	0.8515552017417805	0.953714246002317	frame_geometry	witness-2808d975f708bde4cbfe
0	23	0.0	0.43583588739944107	0.43583588739944107	adaptive_max	repulsive-gap[alpha=1]	20260716	23	0.004541590948653529	0.3461174145553844	0.35065900550403795	chord_invariant	witness-2808d975f708bde4cbfe
2	24	0.0	3.1786085739613	3.1786085739613	adaptive_max	primal-hull-uniform-disk[points=n+4,origin=interior]	20260716	24	0.03421922664864674	0.8173359750931337	0.8515552017417805	frame_geometry	witness-480a2eea018b5481b2d7
2	24	0.0	0.43583588739944107	0.43583588739944107	adaptive_max	primal-hull-uniform-disk[points=n+4,origin=interior]	20260716	24	0.0	0.3461174145553844	0.3461174145553844	chord_invariant	witness-480a2eea018b5481b2d7
0	1	0.0	4.316716849968006	4.316716849968006	adaptive_frame	current-baseline[delta=0.2]	20260716	1	5.408235295507085	2.537395105050271	7.945630400557357	frame_geometry	witness-8171cd3bc8bcc0698332
0	1	0.2947445162324215	0.7355983440715382	1.0303428603039597	adaptive_frame	current-baseline[delta=0.2]	20260716	1	0.7692441237674656	0.8558704539155237	1.6251145776829894	chord_invariant	witness-8171cd3bc8bcc0698332
0	2	0.0	4.316716849968006	4.316716849968006	adaptive_frame	repulsive-gap[alpha=1]	20260716	2	0.34330011257970083	2.1940949924705704	2.537395105050271	frame_geometry	witness-b52d0b7e08c046ac8a39
0	2	0.0	0.7355983440715382	0.7355983440715382	adaptive_frame	repulsive-gap[alpha=1]	20260716	2	0.19097837138644158	0.6648920825290822	0.8558704539155237	chord_invariant	witness-b52d0b7e08c046ac8a39
0	3	0.0	4.316716849968006	4.316716849968006	adaptive_frame	repulsive-gap[alpha=1]	20260716	3	0.06441594892243963	2.1296790435481308	2.1940949924705704	frame_geometry	witness-bc1189ab7d849e4a940e
